"m","n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","df_lrt","aic_F","aic_R","bic_F","bic_R"
2,100,0.215,0.825,0.937246820985085,0.00619852415388777,-614.963786883154,-614.966886145231,0.0549657165004784,1.08087666523421,1,1237.92757376631,1235.93377229046,1248.34825451026,1243.74928284843
2,100,0.215,0.825,0.160021718944853,1.97402083575867,-632.467968968282,-633.454979386161,0.0549657165004784,1.08087666523421,1,1272.93593793656,1272.90995877232,1283.35661868052,1280.72546933029
2,100,0.215,0.825,0.959759718902401,0.0025457183708113,-633.317639794352,-633.318912653537,0.0549657165004784,1.08087666523421,1,1274.6352795887,1272.63782530707,1285.05596033266,1280.45333586504
2,100,0.215,0.825,0.162622342440617,1.94967068065534,-638.187845759888,-639.162681100215,0.0549657165004784,1.08087666523421,1,1284.37569151978,1284.32536220043,1294.79637226373,1292.14087275839
2,100,0.215,0.825,0.375056111160642,0.786844094512617,-636.648773859105,-637.042195906361,0.0549657165004784,1.08087666523421,1,1281.29754771821,1280.08439181272,1291.71822846216,1287.89990237069
2,100,0.215,0.825,0.772681960655321,0.0834450474901587,-632.5492524143,-632.590974938045,0.0549657165004784,1.08087666523421,1,1273.0985048286,1271.18194987609,1283.51918557255,1278.99746043405
2,100,0.215,0.825,0.369836146929085,0.804214957156091,-617.616105969248,-618.018213447826,0.0549657165004784,1.08087666523421,1,1243.2322119385,1242.03642689565,1253.65289268245,1249.85193745362
2,100,0.215,0.825,0.282178960761923,1.15656552505197,-641.611287693145,-642.189570455671,0.0549657165004784,1.08087666523421,1,1291.22257538629,1290.37914091134,1301.64325613024,1298.19465146931
2,100,0.215,0.825,0.491581472550621,0.473062863339692,-620.74459151252,-620.98112294419,0.0549657165004784,1.08087666523421,1,1249.48918302504,1247.96224588838,1259.90986376899,1255.77775644634
2,100,0.215,0.825,0.547132925705886,0.362478547365754,-641.48404254959,-641.665281823273,0.0549657165004784,1.08087666523421,1,1290.96808509918,1289.33056364655,1301.38876584313,1297.14607420451
2,100,0.215,0.825,0.632333531229556,0.228909591497768,-650.714666693655,-650.829121489404,0.0549657165004784,1.08087666523421,1,1309.42933338731,1307.65824297881,1319.85001413126,1315.47375353677
2,100,0.215,0.825,0.293170131661193,1.10500592580593,-650.699184467342,-651.251687430245,0.0549657165004784,1.08087666523421,1,1309.39836893468,1308.50337486049,1319.81904967864,1316.31888541846
2,100,0.215,0.825,0.741549277498359,0.10876961982899,-684.327401966791,-684.381786776705,0.0549657165004784,1.08087666523421,1,1376.65480393358,1374.76357355341,1387.07548467753,1382.57908411138
2,100,0.215,0.825,0.38294725871082,0.761219160184055,-658.184988191481,-658.565597771573,0.0549657165004784,1.08087666523421,1,1324.36997638296,1323.13119554315,1334.79065712691,1330.94670610111
2,100,0.215,0.825,0.0251210272776197,5.01552386478534,-658.25368227984,-660.761444212233,0.0549657165004784,1.08087666523421,1,1324.50736455968,1327.52288842447,1334.92804530363,1335.33839898243
2,100,0.215,0.825,0.714200573171773,0.134117428324771,-653.110145058728,-653.17720377289,0.0549657165004784,1.08087666523421,1,1314.22029011746,1312.35440754578,1324.64097086141,1320.16991810374
2,100,0.215,0.825,0.336746373911176,0.922778924107661,-668.296830458357,-668.75821992041,0.0549657165004784,1.08087666523421,1,1344.59366091671,1343.51643984082,1355.01434166067,1351.33195039879
2,100,0.215,0.825,0.707873360655373,0.140410398936865,-690.493894945602,-690.564100145071,0.0549657165004784,1.08087666523421,1,1388.9877898912,1387.12820029014,1399.40847063516,1394.94371084811
2,100,0.215,0.825,0.627998730330705,0.234784411293504,-600.478736976605,-600.596129182251,0.0549657165004784,1.08087666523421,1,1208.95747395321,1207.1922583645,1219.37815469716,1215.00776892247
2,100,0.215,0.825,0.814559019440725,0.0550130992037339,-618.359438962145,-618.386945511747,0.0549657165004784,1.08087666523421,1,1244.71887792429,1242.77389102349,1255.13955866824,1250.58940158146
2,100,0.215,0.825,0.473049450326959,0.514843907769546,-615.753314828928,-616.010736782812,0.0549657165004784,1.08087666523421,1,1239.50662965786,1238.02147356562,1249.92731040181,1245.83698412359
2,100,0.215,0.825,0.990946623908244,0.000128753676790438,-642.64142183234,-642.641486209178,0.0549657165004784,1.08087666523421,1,1293.28284366468,1291.28297241836,1303.70352440863,1299.09848297632
2,100,0.215,0.825,0.35252596555638,0.864343773568635,-622.424771753473,-622.856943640257,0.0549657165004784,1.08087666523421,1,1252.84954350695,1251.71388728051,1263.2702242509,1259.52939783848
2,100,0.215,0.825,0.587068797198814,0.29494523396761,-607.255933913404,-607.403406530388,0.0549657165004784,1.08087666523421,1,1222.51186782681,1220.80681306078,1232.93254857076,1228.62232361874
2,100,0.215,0.825,0.532637477195486,0.389357202120891,-657.500170146244,-657.694848747304,0.0549657165004784,1.08087666523421,1,1323.00034029249,1321.38969749461,1333.42102103644,1329.20520805257
2,100,0.215,0.825,0.159729598580399,1.97678416526423,-675.049124380411,-676.037516463043,0.0549657165004784,1.08087666523421,1,1358.09824876082,1358.07503292609,1368.51892950477,1365.89054348405
2,100,0.215,0.825,0.370466450617562,0.802099310021731,-622.01703193988,-622.418081594891,0.0549657165004784,1.08087666523421,1,1252.03406387976,1250.83616318978,1262.45474462371,1258.65167374775
2,100,0.215,0.825,0.0748984356579599,3.17226661572681,-602.85009858434,-604.436231892203,0.0549657165004784,1.08087666523421,1,1213.70019716868,1214.87246378441,1224.12087791263,1222.68797434237
2,100,0.215,0.825,0.312853677638147,1.01859008876932,-637.961348834916,-638.470643879301,0.0549657165004784,1.08087666523421,1,1283.92269766983,1282.9412877586,1294.34337841379,1290.75679831657
2,100,0.215,0.825,0.627499576085944,0.235466799336336,-620.39563214015,-620.513365539818,0.0549657165004784,1.08087666523421,1,1248.7912642803,1247.02673107964,1259.21194502425,1254.8422416376
2,100,0.215,0.825,0.500611024666766,0.453640849827934,-635.821283889882,-636.048104314796,0.0549657165004784,1.08087666523421,1,1279.64256777976,1278.09620862959,1290.06324852372,1285.91171918756
2,100,0.215,0.825,0.415208454343138,0.663837406887296,-640.920053931839,-641.251972635283,0.0549657165004784,1.08087666523421,1,1289.84010786368,1288.50394527057,1300.26078860763,1296.31945582853
2,100,0.215,0.825,0.339674717284676,0.911658633008756,-670.105245581994,-670.561074898498,0.0549657165004784,1.08087666523421,1,1348.21049116399,1347.122149797,1358.63117190794,1354.93766035496
2,100,0.215,0.825,0.975828459739513,0.00091803960958714,-665.838057633871,-665.838516653676,0.0549657165004784,1.08087666523421,1,1339.67611526774,1337.67703330735,1350.09679601169,1345.49254386532
2,100,0.215,0.825,0.249326251945157,1.32707496461353,-649.421731246752,-650.085268729059,0.0549657165004784,1.08087666523421,1,1306.8434624935,1306.17053745812,1317.26414323746,1313.98604801608
2,100,0.215,0.825,0.915203061449864,0.0113375774149063,-642.177524182564,-642.183192971271,0.0549657165004784,1.08087666523421,1,1292.35504836513,1290.36638594254,1302.77572910908,1298.18189650051
2,100,0.215,0.825,0.809496253622265,0.0581176128193874,-647.738174916076,-647.767233722486,0.0549657165004784,1.08087666523421,1,1303.47634983215,1301.53446744497,1313.8970305761,1309.34997800294
2,100,0.215,0.825,0.00682075062625232,7.31957589295234,-642.258410675817,-645.918198622293,0.0549657165004784,1.08087666523421,1,1292.51682135163,1297.83639724459,1302.93750209559,1305.65190780255
2,100,0.215,0.825,0.873903553848161,0.0251863685252829,-627.416589405042,-627.429182589304,0.0549657165004784,1.08087666523421,1,1262.83317881008,1260.85836517861,1273.25385955404,1268.67387573657
2,100,0.215,0.825,0.698527045863153,0.150008698481088,-637.151781870527,-637.226786219768,0.0549657165004784,1.08087666523421,1,1282.30356374105,1280.45357243954,1292.72424448501,1288.2690829975
2,100,0.215,0.825,0.401475732147955,0.703901795259299,-666.619145525279,-666.971096422908,0.0549657165004784,1.08087666523421,1,1341.23829105056,1339.94219284582,1351.65897179451,1347.75770340378
2,100,0.215,0.825,0.458567341140562,0.549389280622563,-653.406764441443,-653.681459081754,0.0549657165004784,1.08087666523421,1,1314.81352888289,1313.36291816351,1325.23420962684,1321.17842872147
2,100,0.215,0.825,0.693213189146754,0.155628901129376,-644.460922784497,-644.538737235061,0.0549657165004784,1.08087666523421,1,1296.92184556899,1295.07747447012,1307.34252631295,1302.89298502809
2,100,0.215,0.825,0.418260874640272,0.655196568892507,-615.700345458524,-616.02794374297,0.0549657165004784,1.08087666523421,1,1239.40069091705,1238.05588748594,1249.821371661,1245.87139804391
2,100,0.215,0.825,0.168143252772413,1.89942000964493,-669.414686601613,-670.364396606435,0.0549657165004784,1.08087666523421,1,1346.82937320323,1346.72879321287,1357.25005394718,1354.54430377083
2,100,0.215,0.825,0.334942190099756,0.929695006072052,-636.935892785119,-637.400740288155,0.0549657165004784,1.08087666523421,1,1281.87178557024,1280.80148057631,1292.29246631419,1288.61699113427
2,100,0.215,0.825,0.775980957090397,0.0809746186644134,-665.060371394724,-665.100858704056,0.0549657165004784,1.08087666523421,1,1338.12074278945,1336.20171740811,1348.5414235334,1344.01722796608
2,100,0.215,0.825,0.952061972455427,0.00361412584288701,-648.478983573163,-648.480790636085,0.0549657165004784,1.08087666523421,1,1304.95796714633,1302.96158127217,1315.37864789028,1310.77709183013
2,100,0.215,0.825,0.0871692553481276,2.92588798332235,-600.344859807107,-601.807803798768,0.0549657165004784,1.08087666523421,1,1208.68971961421,1209.61560759754,1219.11040035817,1217.4311181555
2,100,0.215,0.825,0.04303722301042,4.09393942031693,-641.937175943051,-643.98414565321,0.0549657165004784,1.08087666523421,1,1291.8743518861,1293.96829130642,1302.29503263006,1301.78380186438
2,100,0.215,0.825,0.288648463259986,1.12591450404807,-658.117027224161,-658.679984476185,0.0549657165004784,1.08087666523421,1,1324.23405444832,1323.35996895237,1334.65473519227,1331.17547951033
2,100,0.215,0.825,0.51622462511533,0.421429473851504,-619.742685809228,-619.953400546154,0.0549657165004784,1.08087666523421,1,1247.48537161846,1245.90680109231,1257.90605236241,1253.72231165027
2,100,0.215,0.825,0.140465972292915,2.17284702312395,-666.655686606557,-667.742110118119,0.0549657165004784,1.08087666523421,1,1341.31137321311,1341.48422023624,1351.73205395707,1349.2997307942
2,100,0.215,0.825,0.684298202173678,0.165327539856889,-609.275928897045,-609.358592666973,0.0549657165004784,1.08087666523421,1,1226.55185779409,1224.71718533395,1236.97253853804,1232.53269589191
2,100,0.215,0.825,0.769787709662497,0.0856455399589322,-635.232992969811,-635.27581573979,0.0549657165004784,1.08087666523421,1,1278.46598593962,1276.55163147958,1288.88666668357,1284.36714203755
2,100,0.215,0.825,0.551575121993429,0.354502948176787,-660.044883353474,-660.222134827563,0.0549657165004784,1.08087666523421,1,1328.08976670695,1326.44426965513,1338.5104474509,1334.25978021309
2,100,0.215,0.825,0.827782716532798,0.0473263435817444,-615.886466205786,-615.910129377577,0.0549657165004784,1.08087666523421,1,1239.77293241157,1237.82025875515,1250.19361315552,1245.63576931312
2,100,0.215,0.825,0.433693469012912,0.612912063167414,-665.963443128653,-666.269899160237,0.0549657165004784,1.08087666523421,1,1339.92688625731,1338.53979832047,1350.34756700126,1346.35530887844
2,100,0.215,0.825,0.939506864572313,0.00575924406030026,-646.855910176116,-646.858789798147,0.0549657165004784,1.08087666523421,1,1301.71182035223,1299.71757959629,1312.13250109619,1307.53309015426
2,100,0.215,0.825,0.00949281146216582,6.72767765051844,-636.659392113773,-640.023230939032,0.0549657165004784,1.08087666523421,1,1281.31878422755,1286.04646187806,1291.7394649715,1293.86197243603
2,100,0.215,0.825,0.691671017560571,0.157282348756553,-641.729505106215,-641.808146280593,0.0549657165004784,1.08087666523421,1,1291.45901021243,1289.61629256119,1301.87969095638,1297.43180311915
2,100,0.215,0.825,0.273727653249586,1.19797067136437,-633.932899826189,-634.531885161872,0.0549657165004784,1.08087666523421,1,1275.86579965238,1275.06377032374,1286.28648039633,1282.87928088171
2,100,0.215,0.825,0.808057444554512,0.0590163523811498,-602.180953175449,-602.21046135164,0.0549657165004784,1.08087666523421,1,1212.3619063509,1210.42092270328,1222.78258709485,1218.23643326124
2,100,0.215,0.825,0.754323371397062,0.0979338126091989,-658.216443218195,-658.2654101245,0.0549657165004784,1.08087666523421,1,1324.43288643639,1322.530820249,1334.85356718034,1330.34633080696
2,100,0.215,0.825,0.662389450086563,0.190634021448886,-637.494923367846,-637.590240378571,0.0549657165004784,1.08087666523421,1,1282.98984673569,1281.18048075714,1293.41052747965,1288.99599131511
2,100,0.215,0.825,0.701183628551299,0.147243480671932,-677.127978926953,-677.201600667289,0.0549657165004784,1.08087666523421,1,1362.25595785391,1360.40320133458,1372.67663859786,1368.21871189254
2,100,0.215,0.825,0.144998387025832,2.12409516701814,-653.719728321855,-654.781775905364,0.0549657165004784,1.08087666523421,1,1315.43945664371,1315.56355181073,1325.86013738766,1323.37906236869
2,100,0.215,0.825,0.562304559970123,0.335729687730918,-632.041263722184,-632.20912856605,0.0549657165004784,1.08087666523421,1,1272.08252744437,1270.4182571321,1282.50320818832,1278.23376769006
2,100,0.215,0.825,0.98644241084808,0.00028875307339149,-649.5889889518,-649.589133328337,0.0549657165004784,1.08087666523421,1,1307.1779779036,1305.17826665667,1317.59865864755,1312.99377721464
2,100,0.215,0.825,0.507878425349914,0.438435739044962,-615.541919125452,-615.761136994975,0.0549657165004784,1.08087666523421,1,1239.0838382509,1237.52227398995,1249.50451899486,1245.33778454791
2,100,0.215,0.825,0.262102111165173,1.25761980056836,-623.958736150592,-624.587546050876,0.0549657165004784,1.08087666523421,1,1255.91747230118,1255.17509210175,1266.33815304514,1262.99060265972
2,100,0.215,0.825,0.30179051324207,1.06626547264318,-611.783951078682,-612.317083815003,0.0549657165004784,1.08087666523421,1,1231.56790215736,1230.63416763001,1241.98858290132,1238.44967818797
2,100,0.215,0.825,0.87978413404247,0.0228744056553296,-630.772284462088,-630.783721664915,0.0549657165004784,1.08087666523421,1,1269.54456892418,1267.56744332983,1279.96524966813,1275.38295388779
2,100,0.215,0.825,0.492038864141977,0.472064648212836,-673.36031990678,-673.596352230887,0.0549657165004784,1.08087666523421,1,1354.72063981356,1353.19270446177,1365.14132055751,1361.00821501974
