"n","target_cv","actual_cv","maxmin_ratio","p","q","p_value","Lambda","loglik_F","loglik_R","aic_F","aic_R","bic_F","bic_R"
100,0,0,1,0.215,0.825,0.242767618111913,5.46562518639485,-635.60036230566,-638.333174898858,1291.20072461132,1288.66634979772,1317.2524264712,1304.29737091364
100,0,0,1,0.215,0.825,0.695026710160133,2.22187372263875,-640.246210330288,-641.357147191608,1300.49242066058,1294.71429438322,1326.54412252046,1310.34531549914
100,0,0,1,0.215,0.825,0.92326313100294,0.909020492240643,-600.624234823506,-601.078745069626,1221.24846964701,1214.15749013925,1247.30017150689,1229.78851125518
100,0,0,1,0.215,0.825,0.224380786891755,5.67968386162534,-595.664247404834,-598.504089335646,1211.32849480967,1209.00817867129,1237.38019666955,1224.63919978722
100,0,0,1,0.215,0.825,0.772986571822079,1.79724383917437,-617.339082904647,-618.237704824234,1254.67816580929,1248.47540964847,1280.72986766917,1264.1064307644
100,0,0,1,0.215,0.825,0.788022946190545,1.71482482752617,-648.539809725564,-649.397222139327,1317.07961945113,1310.79444427865,1343.13132131101,1326.42546539458
100,0,0,1,0.215,0.825,0.609707979342794,2.69718106898313,-615.887983962007,-617.236574496498,1251.77596792401,1246.473148993,1277.82766978389,1262.10417010892
100,0,0,1,0.215,0.825,0.71395675219378,2.11859614642026,-608.791800416207,-609.851098489417,1237.58360083241,1231.70219697883,1263.63530269229,1247.33321809476
100,0,0,1,0.215,0.825,0.0831083209252991,8.24190104228705,-628.430111929054,-632.551062450198,1276.86022385811,1277.1021249004,1302.91192571799,1292.73314601632
100,0,0,1,0.215,0.825,0.298778316186071,4.88993603836229,-651.793441486614,-654.238409505795,1323.58688297323,1320.47681901159,1349.63858483311,1336.10784012752
100,0,0,1,0.215,0.825,2.39590136145215e-05,26.5987645873158,-584.949052751609,-598.248435045267,1189.89810550322,1208.49687009053,1215.9498073631,1224.12789120646
100,0,0,1,0.215,0.825,0.925989641702592,0.890010079431249,-627.887133873775,-628.332138913491,1275.77426774755,1268.66427782698,1301.82596960743,1284.29529894291
100,0,0,1,0.215,0.825,0.802598494008995,1.63438911476828,-585.303698169182,-586.120892726566,1190.60739633836,1184.24178545313,1216.65909819824,1199.87280656906
100,0,0,1,0.215,0.825,0.402072776597548,4.02916804283427,-635.388144462966,-637.402728484383,1290.77628892593,1286.80545696877,1316.82799078581,1302.43647808469
100,0,0,1,0.215,0.825,0.267209910466909,5.20181263243853,-630.61323042582,-633.21413674204,1281.22646085164,1278.42827348408,1307.27816271152,1294.05929460001
100,0,0,1,0.215,0.825,0.178081344527767,6.29637192515543,-643.408247169589,-646.556433132167,1306.81649433918,1305.11286626433,1332.86819619906,1320.74388738026
100,0,0,1,0.215,0.825,0.450641246086783,3.68274015268707,-622.916666507955,-624.758036584299,1265.83333301591,1261.5160731686,1291.88503487579,1277.14709428453
100,0,0,1,0.215,0.825,0.682968175096684,2.28792600694487,-613.160324795508,-614.30428779898,1246.32064959102,1240.60857559796,1272.3723514509,1256.23959671389
100,0,0,1,0.215,0.825,0.883374780155827,1.16777769628493,-600.009502841711,-600.593391689853,1220.01900568342,1213.18678337971,1246.0707075433,1228.81780449564
100,0,0,1,0.215,0.825,0.967062137143961,0.563216613995564,-643.994668874581,-644.276277181579,1307.98933774916,1300.55255436316,1334.04103960904,1316.18357547909
100,0,0,1,0.215,0.825,0.0102716383375475,13.2150077002184,-643.789086086212,-650.396589936322,1307.57817217242,1312.79317987264,1333.62987403231,1328.42420098857
100,0,0,1,0.215,0.825,0.781281360988045,1.75183632673111,-626.317329437162,-627.193247600528,1272.63465887432,1266.38649520106,1298.6863607342,1282.01751631698
100,0,0,1,0.215,0.825,0.0446375624272338,9.76177440580045,-617.455057304999,-622.335944507899,1254.91011461,1256.6718890158,1280.96181646988,1272.30291013173
100,0,0,1,0.215,0.825,0.404247925105532,4.01301056278749,-643.697866214871,-645.704371496264,1307.39573242974,1303.40874299253,1333.44743428962,1319.03976410846
100,0,0,1,0.215,0.825,0.724429985689676,2.06159985851286,-617.872141144988,-618.902941074244,1255.74428228998,1249.80588214849,1281.79598414986,1265.43690326442
100,0,0,1,0.215,0.825,0.911865550197697,0.986304270191113,-608.594782385866,-609.087934520962,1237.18956477173,1230.17586904192,1263.24126663161,1245.80689015785
100,0,0,1,0.215,0.825,0.624672539341054,2.61214875970586,-654.077373792484,-655.383448172337,1328.15474758497,1322.76689634467,1354.20644944485,1338.3979174606
100,0,0,1,0.215,0.825,0.8375298460307,1.43819654282379,-636.997279796676,-637.716378068088,1293.99455959335,1287.43275613618,1320.04626145323,1303.0637772521
100,0,0,1,0.215,0.825,0.703451470083318,2.17585820708973,-639.30310184676,-640.391030950305,1298.60620369352,1292.78206190061,1324.6579055534,1308.41308301654
100,0,0,1,0.215,0.825,0.658693327311849,2.42178862842343,-629.545115132611,-630.756009446823,1279.09023026522,1273.51201889365,1305.1419321251,1289.14304000957
100,0,0,1,0.215,0.825,0.187445009910085,6.16097161860239,-597.577381842019,-600.657867651321,1215.15476368404,1213.31573530264,1241.20646554392,1228.94675641857
100,0,0,1,0.215,0.825,0.113616747234883,7.45708214959745,-598.253945013811,-601.982486088609,1216.50789002762,1215.96497217722,1242.5595918875,1231.59599329315
100,0,0,1,0.215,0.825,0.817028156326371,1.5540378304961,-618.741125143504,-619.518144058752,1257.48225028701,1251.0362881175,1283.53395214689,1266.66730923343
100,0,0,1,0.215,0.825,0.903879177040249,1.038654321173,-571.768848397685,-572.288175558272,1163.53769679537,1156.57635111654,1189.58939865525,1172.20737223247
100,0,0,1,0.215,0.825,0.0453995006072147,9.72097371007794,-642.409102282505,-647.269589137544,1304.81820456501,1306.53917827509,1330.86990642489,1322.17019939102
100,0,0,1,0.215,0.825,0.564446378788045,2.96056450988522,-655.062801510919,-656.543083765861,1330.12560302184,1325.08616753172,1356.17730488172,1340.71718864765
100,0,0,1,0.215,0.825,0.343856946317448,4.4889734510391,-625.074656648482,-627.319143374002,1270.14931329696,1266.638286748,1296.20101515685,1282.26930786393
100,0,0,1,0.215,0.825,0.99490796748324,0.20895317229747,-596.953580267812,-597.05805685396,1213.90716053562,1206.11611370792,1239.9588623955,1221.74713482385
100,0,0,1,0.215,0.825,0.843954501452944,1.40138361714025,-577.89935712549,-578.60004893406,1175.79871425098,1169.20009786812,1201.85041611086,1184.83111898405
100,0,0,1,0.215,0.825,0.660436286692365,2.412130027079,-627.022713557482,-628.228778571021,1274.04542711496,1268.45755714204,1300.09712897484,1284.08857825797
100,0,0,1,0.215,0.825,0.904540332809303,1.03437016436783,-632.698475166293,-633.215660248477,1285.39695033259,1278.43132049695,1311.44865219247,1294.06234161288
100,0,0,1,0.215,0.825,0.90753690116171,1.01484375176278,-620.545448444493,-621.052870320374,1261.09089688899,1254.10574064075,1287.14259874887,1269.73676175668
100,0,0,1,0.215,0.825,0.181062701321713,6.25258155673896,-634.467661943088,-637.593952721458,1288.93532388618,1287.18790544292,1314.98702574606,1302.81892655884
100,0,0,1,0.215,0.825,0.904618470222353,1.03386328448528,-607.537433932121,-608.054365574364,1235.07486786424,1228.10873114873,1261.12656972412,1243.73975226466
100,0,0,1,0.215,0.825,0.701049741965027,2.18896669183414,-629.827262821382,-630.921746167299,1279.65452564276,1273.8434923346,1305.70622750265,1289.47451345053
100,0,0,1,0.215,0.825,0.536156392971195,3.13094354057444,-621.006214709832,-622.571686480119,1262.01242941966,1257.14337296024,1288.06413127954,1272.77439407617
100,0,0,1,0.215,0.825,0.0150529146604065,12.3309104737075,-589.453746992157,-595.61920222901,1198.90749398431,1203.23840445802,1224.95919584419,1218.86942557395
100,0,0,1,0.215,0.825,0.313126363321906,4.75722805527198,-603.798965588444,-606.17757961608,1227.59793117689,1224.35515923216,1253.64963303677,1239.98618034809
100,0,0,1,0.215,0.825,0.815767965219908,1.5610891697454,-616.948046405646,-617.728590990519,1253.89609281129,1247.45718198104,1279.94779467117,1263.08820309697
100,0,0,1,0.215,0.825,0.0234241952068929,11.2967106197282,-656.88132194127,-662.529677251134,1333.76264388254,1337.05935450227,1359.81434574242,1352.6903756182
