"n","p","q","prob3","mttf3","prob1","mttf1","mttf","tau","shapes1","shape.mles.1","shape.mles.2","shape.mles.3","shape.mles.4","shape.mles.5","scale.mles.1","scale.mles.2","scale.mles.3","scale.mles.4","scale.mles.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5"
100,0.215,0.825,0.278487170955192,883.95437971124,0.158592041373319,924.869251041088,210.627343926679,362.492299414816,0.9,0.863324560574472,2.21157435376541,0.626444790257203,0.926340527688009,1.31109846582614,1221.19375360058,490.280176283526,2984.90182156836,826.933349944616,759.114128663383,0.534944116573506,1.04289028535177,0.38182065580688,0.725528447671958,0.91812609649028,1.49753893560829,3.55675506397735,1.19037715257069,1.37132706910829,2.44303611354163,618.094858835162,385.78805624928,882.381638779823,468.786324665959,469.847989849405,5747.72611673114,899.909582693714,53451.0504844491,2176.95422876832,1825.95681106118
100,0.215,0.825,0.278487170955192,883.95437971124,0.158592041373319,924.869251041088,210.627343926679,362.492299414816,0.9,1.41128055354916,1.31787555921502,0.807712296536363,0.8569194472234,1.46613759674946,1176.27018452592,913.714270359571,693.609525908325,1521.02546987413,444.675611601056,0.65264617484715,0.876010270440532,0.61365698630102,0.578097219821814,0.996432763446367,5.34372810598959,5.81064217525324,1.1312199154502,1.57868932815442,2.39381345513877,484.261703636369,450.929894642381,401.582857404171,602.660558757198,334.694777325027,6503.26899373076,3623.90461978941,1658.80890061365,7680.7955826268,750.734187836156
100,0.215,0.825,0.25758356990199,840.1141,0.163241635870107,924.869251041088,216.399595490668,369.485692399371,1,0.969346622311902,1.29200128637819,0.918269678988682,0.924563842680097,1.19135590435043,1182.23388201267,525.614452979727,862.783699718488,1770.12820992141,1023.6423240761,0.566748963700509,0.998197645624029,0.532561217300495,0.606955910760664,0.768227129287135,1.45033984177926,1.77503190630054,1.35275093780619,2.02958288541107,2.22283026288882,585.527575087562,367.929623638315,468.284094306626,672.616349415849,524.503780140502,7351.40199759893,1145.79669385328,4488.27620273817,12426.5154801541,5801.30770087323
100,0.215,0.825,0.25758356990199,840.1141,0.163241635870107,924.869251041088,216.399595490668,369.485692399371,1,1.45959155218151,1.82315925291322,0.902639455224625,1.04524089988616,1.47325732166685,723.030098794936,662.60022888639,1271.36633672476,868.384595021199,573.549110635822,0.722980841282469,0.578906393715865,0.396810315150899,0.679142641115677,0.967010697104717,2.40437162188897,3.53487037176274,1.92140226601378,1.606537283446,2.59635344676807,449.174223247361,423.168752005759,519.491443149258,469.663683144473,397.236464646167,4474.24683820462,4556.83774352039,41387.9523396745,3354.26458526631,1133.97444194166
100,0.215,0.825,0.233754681559727,803.563879727765,0.168562831860821,924.869251041088,222.883586821744,377.709824077126,1.1308,1.31508330341563,1.11747534993933,1.21622536258002,1.46771294640676,0.917704552416365,924.133541240151,1028.2409075501,952.068950290687,757.426986127902,1006.16104855365,0.452707658519735,0.853991087785373,0.908130650144272,0.614048825673448,0.491158552511218,3.17864806261743,1.88805830976299,2.04610590449183,4.4794113461979,1.38938456945019,491.612837438455,544.844299825282,513.958763603916,457.066147589174,567.356494379529,27995.5846223818,2584.63746723913,2722.36874388205,4875.67005388022,6407.20989620952
100,0.215,0.825,0.233754681559727,803.563879727765,0.168562831860821,924.869251041088,222.883586821744,377.709824077126,1.1308,1.15185504597146,1.19727691803052,2.33740968363423,1.41850736197365,0.959059004934034,1205.81072755023,738.172522729058,525.106233262606,599.499575074876,2218.03124571757,0.727657389441602,0.86228446073338,1.62336188837036,1.09937740755793,0.61258644457583,2.10759182733602,1.79281614320386,3.74302608202181,1.99700478781154,4.34168560363505,606.559385465644,482.583700131438,398.168193788839,422.025036461622,727.673123181865,7468.88228246223,1640.91803792963,876.994723082338,1236.81998225514,32925.2962754645
100,0.215,0.825,0.222548475552248,790.258249769115,0.17107334979663,924.869251041088,225.896577087981,381.694351762218,1.2,2.14902623301135,1.26135126199764,0.803245335151791,1.32263741947958,1.10064614032036,613.983352036893,1004.81775788002,1249.34468588986,710.826277804285,1820.99644830667,1.24230602988286,0.847361957626295,0.560367829138468,0.858432538494255,0.797668420938142,4.88455956223331,3.32815974373485,1.24917568079034,2.07938343491966,1.67228053516314,436.497198995799,542.13844137374,645.946174209328,483.035413160428,798.923549889007,1277.72626653469,3659.29177021755,4452.8142626584,1562.82000311039,6612.48913095937
100,0.215,0.825,0.222548475552248,790.258249769115,0.17107334979663,924.869251041088,225.896577087981,381.694351762218,1.2,1.1067583764092,1.71178904370596,1.23011608565123,1.34146525176159,1.23872292853317,901.159862194284,565.251097572462,818.892618012307,936.377401636009,840.170112252804,0.70941875376483,1.11628662873566,0.92783372294425,0.749641370041007,0.809101474192655,1.71987827953285,2.6180096701673,1.81027832389737,2.83321016491772,3.29914029055175,538.930044073874,415.096944854473,507.676003912765,504.282398333963,464.702598421596,3116.49873898976,1071.22486147216,1817.0927667364,5033.06968334593,2236.80875299784
100,0.215,0.825,0.207844400994472,775.909826210951,0.174375694121379,924.869251041088,229.813843872325,387.060635736324,1.3,1.62913468813221,0.879631331832542,1.08140971186812,1.24323097827217,0.987775713736209,803.160844562102,1453.25663841315,768.194385109336,900.250716466683,1071.37963448153,1.0851832509278,0.65028015321563,0.846701716950182,0.621447715253109,0.687804034582803,4.03076688492861,1.20693790993803,1.41992454002561,2.68108679969253,1.45832277064825,506.29545532986,735.089034329272,483.513948663691,508.73149600414,573.591421015912,2657.42653890036,5728.28382403965,1684.02171156152,6296.73100414316,3679.2146125175
100,0.215,0.825,0.207844400994472,775.909826210951,0.174375694121379,924.869251041088,229.813843872325,387.060635736324,1.3,1.41177709818316,0.932094954260138,1.40586532298894,1.70691114563883,1.50852883804609,923.359140462424,1064.72294489638,1309.41192166417,573.193470036184,1057.13440447505,0.95611845216746,0.679746508765295,0.932302834275467,1.02435710834889,0.795965420603925,2.99994896909744,1.29071626495648,1.8710450391844,2.59515407665333,2.16245399554087,550.468872449823,592.22257934759,651.273517762492,425.266390465456,625.619024521918,2532.29174398593,2827.65569843867,4208.89312691913,1125.11969973852,4138.70160537338
100,0.215,0.825,0.278487170955192,883.95437971124,0.158592041373319,924.869251041088,210.627343926679,362.492299414816,0.9,1.00065415457222,0.737252958931793,0.754077665277809,1.38891925834364,1.2964406507722,1055.46530363351,2311.54646929291,2050.08392161095,979.725436989577,752.671147217207,0.749829776020451,0.407964262267542,0.42285598050564,0.511069116048844,0.818168389941107,1.32903238215992,1.45266902273383,1.58849900967294,52.0799685117193,2.07025862271619,551.112025314325,782.823950364101,701.290311058604,375.168196878048,482.840332251435,4325.14825422604,49874.3026165183,36893.0255439167,16782.7300497826,2494.87222371884
100,0.215,0.825,0.278487170955192,883.95437971124,0.158592041373319,924.869251041088,210.627343926679,362.492299414816,0.9,2.12522233607009,1.11953788840504,1.05583688361686,1.48112414524209,1.1336119995045,674.033541332593,781.872785553878,512.688619237189,454.374964371585,800.54332070607,1.21774680396064,0.497128593948234,0.785546769373593,1.07174078570748,0.39966338934787,189.297520512463,1.68063844210171,1.59404043044981,2.24302537821861,1.74499694031051,364.251890862502,454.472954501901,350.453449030673,340.656628579414,448.773037029965,2358.87742538696,10808.781634294,1153.51853726367,867.839388659048,12414.9720728829
