target_cv,n,reject_rate,n_reps,mean_lambda,sd_lambda,actual_cv,maxmin_ratio,aic_selects_full_rate,bic_selects_full_rate,se_reject,ci_low,ci_high
0.0,100,0.054,500,4.016450760920826,3.0314155679744914,0.0,1.0,0.098,0.002,0.010107818755794942,0.03737409848513375,0.07742706124443205
0.0,500,0.056,500,3.9343670596221854,2.762150698141374,0.0,1.0,0.088,0.0,0.010282412168358162,0.03902536261505807,0.07974529864038413
0.0,1000,0.046,500,3.9395248980804536,2.7049860012092264,0.0,1.0,0.082,0.0,0.00936845771725528,0.030844883399787512,0.06807827022627275
0.0,5000,0.068,500,4.21241290666179,3.0515911752363305,0.0,1.0,0.124,0.0,0.011258419071965654,0.04906621332682857,0.09352145708387197
0.0,10000,0.046,500,4.025959551033854,2.823398637142506,0.0,1.0,0.108,0.0,0.00936845771725528,0.030844883399787512,0.06807827022627275
0.02,100,0.04819277108433735,498,4.094141649414672,2.937676594057684,0.0273861278752583,1.07176815408766,0.09437751004016064,0.004016064257028112,0.009597337722751984,0.03259621013795873,0.0707065053005382
0.02,500,0.062,500,4.286899196839486,3.065217081212107,0.0273861278752583,1.07176815408766,0.11,0.002,0.010784804124322332,0.04401893261361028,0.08666023321946106
0.02,1000,0.052104208416833664,499,4.229171833322307,2.8298246327121612,0.0273861278752583,1.07176815408766,0.11823647294589178,0.0,0.00994870208169882,0.03580211961997365,0.07524994926215542
0.02,5000,0.186,500,6.135036933284588,4.050450055109984,0.0273861278752583,1.07176815408766,0.278,0.0,0.017401379255679705,0.15433345489426237,0.22245480554314495
0.02,10000,0.268,500,7.767538529170007,4.919015917519556,0.0273861278752583,1.07176815408766,0.404,0.0,0.0198078772209442,0.23105333049086763,0.30848449250747156
0.04,100,0.07489878542510121,494,4.419390625431451,3.3377328853632964,0.0547722557505166,1.14887868228046,0.13157894736842105,0.004048582995951417,0.011843185690577929,0.05482465494687508,0.10153351198815003
0.04,500,0.07214428857715431,499,4.548109657076362,3.2268516695734517,0.0547722557505166,1.14887868228046,0.13026052104208416,0.0,0.011582196465075717,0.05256377551523211,0.09826225001646616
0.04,1000,0.13026052104208416,499,5.510670281666145,3.4942596369701233,0.0547722557505166,1.14887868228046,0.22444889779559118,0.0,0.015067830448631789,0.10353003526635389,0.16264046454909487
0.04,5000,0.5410821643286573,499,11.25207567273701,6.441029750122425,0.0547722557505166,1.14887868228046,0.6613226452905812,0.004008016032064128,0.022307392296058427,0.4972120211930111,0.5843245899386056
0.04,10000,0.8873239436619719,497,18.610359469800656,7.819544989375366,0.0547722557505166,1.14887868228046,0.93158953722334,0.012072434607645875,0.01418334690078911,0.8565016126856702,0.9122045011834654
0.06,100,0.0744466800804829,497,4.437315575590065,3.161556072843703,0.0821583836257748,1.23195116953929,0.12474849094567404,0.002012072434607646,0.0117745737644708,0.05449074266902769,0.10093085170332476
0.06,500,0.126,500,5.613797648110378,3.754890459385367,0.0821583836257748,1.23195116953929,0.214,0.002,0.01484075469779081,0.09973485690292784,0.1579683577581879
0.06,1000,0.266,500,7.458939981374868,4.4797624000273135,0.0821583836257748,1.23195116953929,0.368,0.002,0.019760769215797242,0.22915976106477493,0.3064085604076879
0.06,5000,0.936,500,20.864373184752285,8.502579914684931,0.0821583836257748,1.23195116953929,0.966,0.078,0.01094568408095172,0.9110470662066095,0.954304266434443
0.06,10000,0.996,500,36.73441846767692,12.24559256382772,0.0821583836257748,1.23195116953929,0.998,0.456,0.002822764602300377,0.9855339859585811,0.9989023924587627
0.08,100,0.08835341365461848,498,4.790529435560788,3.4142066159554165,0.109544511501033,1.32170486257241,0.13253012048192772,0.004016064257028112,0.012717749032837442,0.06647422565276344,0.11653491508008933
0.08,500,0.252,500,7.11142509183063,4.53706442019946,0.109544511501033,1.32170486257241,0.354,0.006,0.019416281827373642,0.21593322346148225,0.29184858732984587
0.08,1000,0.494,500,10.029319729681918,5.430229837958946,0.109544511501033,1.32170486257241,0.602,0.006,0.02235906974809104,0.4503893365060508,0.5377021589163201
0.08,5000,0.996,500,33.72009007253258,10.949186157084196,0.109544511501033,1.32170486257241,1.0,0.47,0.002822764602300377,0.9855339859585811,0.9989023924587627
0.08,10000,1.0,500,64.83307935031395,16.142993524145407,0.109544511501033,1.32170486257241,1.0,0.962,0.0,0.9923753814690964,0.9999999999999999
0.1,100,0.12903225806451613,496,5.339585432544106,4.015945897249834,0.136930639376291,1.41897954795235,0.19556451612903225,0.012096774193548387,0.01505252460092553,0.1023560527546734,0.16141070855530962
