"n","target_cv","actual_cv","mttf_true","mttf_full","mttf_reduced","mttf_adaptive_lrt","selected_model_lrt","cv_hat","mttf_adaptive_cv","selected_model_cv","Lambda","p_value","loglik_F","loglik_R","conv_F"
100,0,0,221.829531491824,219.605489523639,224.388988916415,219.605489523639,"full",0.39281547663924,219.605489523639,"full",11.5887067931553,0.0206867576141285,-613.628619460038,-619.422972856616,0
100,0,0,221.829531491824,200.697160657435,206.989947319618,206.989947319618,"reduced",0.430675496985086,200.697160657435,"full",8.43030255776353,0.0770282391283483,-635.685508331197,-639.900659610078,0
100,0,0,221.829531491824,193.909556169855,194.658968584519,194.658968584519,"reduced",0.157473812773215,193.909556169855,"full",2.53887258236227,0.637688843700593,-641.89867884127,-643.168115132451,0
100,0,0,221.829531491824,188.437055611552,190.208645734813,190.208645734813,"reduced",0.232463451725144,188.437055611552,"full",4.60494467815965,0.330284472675635,-647.835067804832,-650.137540143912,0
100,0,0,221.829531491824,209.363062658971,210.517346347589,210.517346347589,"reduced",0.126824438376991,209.363062658971,"full",0.682228965006971,0.953502234137235,-623.052585513754,-623.393699996257,0
100,0,0,221.829531491824,222.989745056246,226.239342643384,226.239342643384,"reduced",0.228762370122322,222.989745056246,"full",2.29116218137528,0.682378581546005,-613.720558813769,-614.866139904457,0
100,0,0,221.829531491824,214.581711206934,219.5439950955,219.5439950955,"reduced",0.322687379902889,214.581711206934,"full",7.47759272850794,0.112701427416676,-624.100196898504,-627.838993262758,0
100,0,0,221.829531491824,217.98167942993,224.338582409437,224.338582409437,"reduced",0.522541160830713,217.98167942993,"full",6.30641450366375,0.177403871762375,-621.28606630395,-624.439273555782,0
100,0,0,221.829531491824,221.731311960607,234.124962919459,221.731311960607,"full",0.495625934965198,221.731311960607,"full",16.755531224117,0.00215616502838691,-619.065412316977,-627.443177929036,0
100,0,0,221.829531491824,200.630250521977,201.821504968129,201.821504968129,"reduced",0.190391801750156,200.630250521977,"full",1.06657273030896,0.899538898255832,-617.66927942521,-618.202565790365,0
100,0,0,221.829531491824,212.004117079743,229.249539917151,229.249539917151,"reduced",0.847570116731943,212.004117079743,"full",4.77107266530106,0.311603418290326,-606.68843082271,-609.07396715536,0
100,0,0,221.829531491824,186.854420181095,193.680182474776,186.854420181095,"full",0.579453139961136,186.854420181095,"full",11.1308378958581,0.025132269356288,-625.813369532994,-631.378788480923,0
100,0,0,221.829531491824,250.132782775513,251.181642259785,251.181642259785,"reduced",0.117935693912259,250.132782775513,"full",0.84157846136327,0.932788569701685,-575.404285570623,-575.825074801304,0
100,0,0,221.829531491824,216.623041018211,222.375164217653,222.375164217653,"reduced",0.286719995272749,216.623041018211,"full",5.8307841236674,0.212146841839127,-624.294733189053,-627.210125250886,0
100,0,0,221.829531491824,244.016302765276,257.920227614091,257.920227614091,"reduced",0.438388662140489,244.016302765276,"full",5.19247929786616,0.268111888458883,-597.139903735177,-599.73614338411,0
100,0,0,221.829531491824,206.926156820174,210.472422778607,210.472422778607,"reduced",0.502455698951279,206.926156820174,"full",4.8790636202159,0.299932913890371,-634.582083756462,-637.02161556657,0
100,0,0,221.829531491824,209.686470584059,211.93258618411,211.93258618411,"reduced",0.247473687805491,209.686470584059,"full",4.1735437955972,0.383028436343334,-643.931770730263,-646.018542628062,0
100,0,0,221.829531491824,275.776854937984,283.797757532155,283.797757532155,"reduced",0.289926324044633,275.776854937984,"full",2.48100181598898,0.648040912864542,-573.157122110741,-574.397623018736,0
100,0,0,221.829531491824,232.623866984152,238.107599529748,238.107599529748,"reduced",0.295796278845002,232.623866984152,"full",5.36371697510481,0.251971110463149,-620.170390360133,-622.852248847686,0
100,0,0,221.829531491824,189.369661742905,195.958805951913,195.958805951913,"reduced",0.538473899899931,189.369661742905,"full",7.54207376320846,0.109868264676503,-652.667949981925,-656.438986863529,0
100,0,0,221.829531491824,235.618838151047,239.190528736788,239.190528736788,"reduced",0.312974517672042,235.618838151047,"full",2.4927944187134,0.645926527116484,-604.396132382213,-605.642529591569,0
100,0,0,221.829531491824,241.709387861223,245.12300638548,245.12300638548,"reduced",0.226878691817115,241.709387861223,"full",1.88971258223251,0.756034549771331,-605.929005015864,-606.873861306981,0
100,0,0,221.829531491824,225.993373614448,231.182828131838,231.182828131838,"reduced",0.267142941757284,225.993373614448,"full",2.86410165877123,0.580819079716656,-601.855064228225,-603.287115057611,0
100,0,0,221.829531491824,235.364553049272,244.904864823151,244.904864823151,"reduced",0.490889996557328,235.364553049272,"full",3.68189386822496,0.450764833024334,-607.879895447304,-609.720842381417,0
100,0,0,221.829531491824,224.586934869747,229.607261809694,224.586934869747,"full",0.309736700036922,224.586934869747,"full",10.609218171749,0.0313253339001524,-613.085920310932,-618.390529396807,0
100,0,0,221.829531491824,223.786704210525,227.09218605031,227.09218605031,"reduced",0.274139175490042,223.786704210525,"full",2.87950460369302,0.578188243040487,-605.77073321601,-607.210485517857,0
100,0,0,221.829531491824,221.624810924055,222.331301664873,222.331301664873,"reduced",0.128337532493744,221.624810924055,"full",1.68713670922216,0.793052910293551,-613.062575683279,-613.90614403789,0
