q,n,reject_rate,n_reps,mean_lambda,sd_lambda,mean_pct_censored,aic_selects_full_rate,bic_selects_full_rate,se_reject,ci_low,ci_high
0.5,100,0.082,500,4.546268011274505,3.759214949090879,0.49695999999999996,0.136,0.012,0.012269963325128565,0.06101875732494105,0.10935542376689417
0.5,500,0.068,500,4.424144946292912,3.3090260853607725,0.499104,0.13,0.002,0.011258419071965654,0.04906621332682857,0.09352145708387197
0.5,1000,0.096,500,4.7947904831340376,3.4076243298319566,0.501702,0.162,0.0,0.013174520864152897,0.07317313790557156,0.12498755386739835
0.5,5000,0.17,500,5.997607262720733,4.0306745628117335,0.49967880000000003,0.242,0.0,0.016798809481626965,0.13961985448969885,0.2054123937406974
0.6,100,0.088,500,4.4708401901878165,3.9549717848385857,0.40174,0.126,0.01,0.012669333052690659,0.06620563711739778,0.11607704855206659
0.6,500,0.08,500,4.328486904311786,3.380536674590345,0.40062400000000004,0.122,0.0,0.01213260071048248,0.05929780247392154,0.1071068770920373
0.6,1000,0.082,500,4.47357533579726,3.1113589698158246,0.399004,0.138,0.0,0.012269963325128565,0.06101875732494105,0.10935542376689417
0.6,5000,0.216,500,6.729522158342108,4.50614451006132,0.4002056,0.318,0.0,0.01840347793217358,0.18216716501825247,0.2541636183073006
0.7,100,0.0951417004048583,494,4.598213798213198,3.5950281859329953,0.2992105263157895,0.14979757085020243,0.004048582995951417,0.01320116523878868,0.07230288780447859,0.12422869975268817
0.7,500,0.060240963855421686,498,4.282026731759051,3.2644253969979875,0.3005180722891566,0.11044176706827309,0.0,0.010662021151664307,0.04251947107274161,0.08469517195406205
0.7,1000,0.10020040080160321,499,4.79230202171554,3.3321562417509623,0.2997715430861723,0.15831663326653306,0.0,0.013441797677811737,0.07683255506679176,0.12967700977430333
0.7,5000,0.24048096192384769,499,6.970225784295677,4.4041411872639955,0.29960400801603204,0.3486973947895792,0.0,0.019131957593376762,0.20505592985984283,0.2798713315282364
0.825,100,0.06666666666666667,495,4.238268009546412,2.9751542552691284,0.1744040404040404,0.12121212121212122,0.0,0.011211666202433622,0.0478607883632704,0.09214678117383318
0.825,500,0.066,500,4.344770706149559,3.223955610626716,0.17430400000000001,0.12,0.002,0.011103512957618413,0.04737823802541255,0.09123993085941157
0.825,1000,0.096,500,4.986620863174539,3.3682063957824244,0.174624,0.158,0.0,0.013174520864152897,0.07317313790557156,0.12498755386739835
0.825,5000,0.3066132264529058,499,7.891530103547401,4.7804201647910425,0.1749078156312625,0.40080160320641284,0.0,0.02064110515641656,0.2677618572960927,0.34841946103556476
0.9,100,0.08016032064128256,499,4.421561622729032,3.4390003230453408,0.09835671342685372,0.1282565130260521,0.004008016032064128,0.0121558552519249,0.059417761854763954,0.10731784633676196
0.9,500,0.07615230460921844,499,4.42645373161764,3.0596736542415557,0.09844488977955912,0.11422845691382766,0.0,0.011873846836693194,0.05598169482976205,0.10279912203185006
0.9,1000,0.09,500,4.86141031835874,3.2768434653668668,0.10026,0.14,0.0,0.012798437404620925,0.0679421955899675,0.11830999160537325
0.9,5000,0.3406813627254509,499,8.425794407446952,5.231795467415407,0.09969779559118237,0.4408817635270541,0.0,0.021216394945015687,0.3004556620382793,0.3833413825976459
0.95,100,0.07214428857715431,499,4.433722646132,3.202941900033954,0.04925851703406815,0.13226452905811623,0.006012024048096192,0.011582196465075717,0.05256377551523211,0.09826225001646616
0.95,500,0.086,500,4.662760168945483,3.3253914076699327,0.05035600000000001,0.142,0.0,0.012538261442480771,0.06447280005130328,0.11384038409228468
0.95,1000,0.1,500,4.86049360712983,3.3883067610039297,0.04995000000000001,0.164,0.0,0.01341640786499874,0.07667718662472012,0.1294225082000026
0.95,5000,0.398,500,9.137136565247115,5.5840606724491915,0.0500024,0.506,0.0,0.02189045454073533,0.35602922648461244,0.44152619569569185
1.0,100,0.0781563126252505,499,4.434462281173808,3.1435144230924137,0.0,0.1342685370741483,0.002004008016032064,0.012016013315411293,0.05769753863718514,0.10506067388938387
1.0,500,0.084,500,4.634430099504563,3.2403004245506026,0.0,0.148,0.0,0.012405160216619535,0.06274379952220428,0.11159988309550732
1.0,1000,0.112,500,5.035250121493682,3.5247929784641636,0.0,0.184,0.0,0.014103616557464968,0.0872623972834597,0.14265430669652132
1.0,5000,0.43,500,9.670052452311795,5.531601105487648,0.0,0.548,0.0,0.022140460699813815,0.38730087857833456,0.4737665680159919
