"n","p","q","prob3","prob1","mttf3","mttf1","mttf","tau","scale3","shape.mles.1","shape.mles.2","shape.mles.3","shape.mles.4","shape.mles.5","scale.mles.1","scale.mles.2","scale.mles.3","scale.mles.4","scale.mles.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5"
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,1.2930617907739,1.17636780546286,1.06490874125064,1.21921539869654,0.932494434768248,834.698984648863,857.891169469576,227.661708625417,623.098922642598,3786.01750248758,0.713449059173254,0.669512781874598,0.882999656734453,0.688096945656821,0.615109004017263,3.11575947320755,2.51574881498383,1.37756406053645,4.3896635168472,3.78407184342157,375.909716201976,396.908227325539,173.680750205441,296.928822294744,603.259910195186,5714.17707569608,6284.70862113951,330.207122161171,4643.94259921806,26929.3062592541
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,0.808061286101141,2.58746159487831,1.10078993454897,1.60959121449669,1.55148619346253,5029.97191542626,365.266522972177,257.226864466721,477.188295919425,673.480226918314,0.507287631238524,1.20987227397743,0.82111809421522,1.13394082301881,1.15475086339448,3.51649671769477,5.60314613784444,1.34952209363698,3.10905104450761,2.57122988419847,901.755632883864,278.104128029271,189.814223262585,311.674704363199,366.101607295597,146246.194619888,1045.23272683137,397.23017589475,1522.79883069789,2271.3497492327
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,1.06546873100947,1.07063877570673,1.04218206630628,1.34434582787777,1.61077836681393,758.091184921707,1058.14868772525,882.352298584036,549.933552779518,570.319056287329,0.751210830744041,0.598632093170877,0.815898003804463,0.995836441767731,1.09467581799012,1.56201606633816,2.36085925097661,1.44656103363601,2.18543519866874,2.94335790932783,438.322089033187,482.325019710533,488.271592189646,378.587429937459,373.490200639358,2093.89523957859,7736.26876322688,2538.3979765901,1118.64330149519,1350.36625321289
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,1.24693237605271,1.00840065679112,0.878430108955094,0.958697243368153,0.683053778839359,690.362409506577,993.773621272392,505.39249027462,1346.71475571376,3500.04455911818,0.805141109327596,0.589481840471494,0.575092589066463,0.677507794012332,0.392583695987243,9.25030256509432,1.69440481814893,1.24463358090689,57.9577591273844,1.28133004591126,367.545162452832,487.872863069136,319.518415877286,344.992842016948,861.654267394573,4354.65943054951,6520.37547257103,1567.34918733122,9891.20744899932,155376.997576467
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,1.99303349214736,1.69757121809241,0.752788201127517,1.31629112771626,1.45129343816817,558.357058756776,800.534483120273,1674.30513289368,664.264373623311,895.372707531802,1.48708160881685,1.09586178451106,0.431853720044323,1.01805548381301,0.84211900996498,2.91949096270553,3.04843839923141,1.40698919331615,1.92617136930778,3.91220285038202,414.717480901775,473.412377522607,646.639709488302,442.448301305701,459.748015571571,949.261905900993,2087.11530179386,16265.3030031757,1273.71885670475,3860.03587126561
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,1.45051253429125,0.962252918501279,0.849359480980222,1.24670937331917,2.04157144032881,991.161640689144,2110.53551469487,1056.40878390401,874.097478970053,688.007304344701,0.654827341949498,0.633450649004858,0.619828946939958,0.746083913808661,1.17449721447589,5.5263422734881,7.55671724854493,1.24000082445901,2.08438887330622,3.33307486745929,472.8616040781,478.172502405721,585.082626854515,509.899666371206,471.554055331285,11696.2302961039,22598.8268288146,3502.16207702065,3336.71853811741,1839.67214197375
100,0.215,0.825,0.199949825732212,0.176362016848044,956.493742609207,924.869251041088,231.101477737775,391.477054325248,1000,1.1959546014387,1.0903644890304,1.39191913551826,1.07462431098438,1.18114048739178,1111.90936925009,951.225417213383,755.147897060785,675.915229924797,777.390710489481,0.663263684355761,0.652167876153475,0.721116072146787,0.778276593901792,0.834847927952476,3.04578744961987,1.67058047037734,2.32158465923551,1.49779329268366,2.06488803629276,489.399162989637,566.944134460243,458.887078031314,435.818129319328,466.589128863342,6154.36316042903,10847.869352484,2976.49033802761,1551.91748885476,2069.28341526066
100,0.215,0.825,0.199949825732212,0.176362016848044,956.493742609207,924.869251041088,231.101477737775,391.477054325248,1000,1.03346976150582,1.96383758930523,0.700272693263239,0.980063844139702,1.26475201405535,1134.15415185108,565.155228602917,19385.6357938559,925.014073239858,717.075808968118,0.561435102225987,1.10592858859307,0.481065613880188,0.580254318992956,0.905016092448745,1.79295456282068,3.43061692418394,3.04053017845564,1.41060929834624,1.836199689843,577.071037575371,432.880625010777,1748.9755396899,563.60651594575,480.143201705384,8081.30824892243,1158.87109035136,163595.969413461,3336.57744598284,1572.79533727955
100,0.215,0.825,0.162265605156944,0.185073900675987,1195.61717826151,924.869251041088,240.198467236649,406.701271141681,1250,1.3467758175778,1.09287491915163,1.12120556785646,1.54705303786943,1.62322534627007,1010.14782688464,1353.7543846582,843.523609644751,574.207251471302,802.692687485698,0.790429084312234,0.816200766971543,0.72336451761195,1.02683934748591,0.953475289708298,5.11153647924015,1.53683253046228,1.98945021469223,3.40647665879274,3.49927846968576,491.715803987707,700.281961659264,500.597866343953,429.33014545722,500.152053914359,5528.8644518758,3788.40881571955,2903.76497403674,1139.72719141552,2378.43840880503
100,0.215,0.825,0.162265605156944,0.185073900675987,1195.61717826151,924.869251041088,240.198467236649,406.701271141681,1250,1.11659369532518,0.985081154220042,0.879863949044694,1.2065512339566,1.55388899142123,1257.08754080196,1219.95027626022,1355.43236415687,614.096153735172,678.409592216894,0.709737326369774,0.464863795000877,0.640359951774284,0.891336362967916,0.752421078942824,2.25912180134931,1.68019665800707,1.14943494718146,1.67208449645898,2.32715337322217,621.1212072199,596.365661042693,641.357576673674,408.041021586429,453.192131451083,10379.7021759624,16859.4297549771,5556.97509202354,1308.62489305277,2282.16061392194
