"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
70,0.215,0.825,0.733698679259298,2.01120048359269,-442.277673192538,-443.283273434335
80,0.215,0.825,0.827695585373433,1.49404618336757,-485.416463215358,-486.163486307042
90,0.215,0.825,0.779081198504193,1.76389350281033,-556.647459837753,-557.529406589158
100,0.215,0.825,0.118233154780557,7.35591703269984,-635.599404665216,-639.277363181566
150,0.215,0.825,0.755164908974685,1.89444758748459,-960.649460274509,-961.596684068252
200,0.215,0.825,0.348119337901187,4.45331269504641,-1185.94051533647,-1188.167171684
250,0.215,0.825,0.128189731866632,7.14961744093353,-1531.08847007106,-1534.66327879153
300,0.215,0.825,0.292597542140124,4.94874100569268,-1848.86833063481,-1851.34270113765
350,0.215,0.825,0.427087241402004,3.84714743656968,-2097.71199029996,-2099.63556401825
400,0.215,0.825,0.869721946651585,1.25046553255106,-2415.11420180327,-2415.73943456954
450,0.215,0.825,0.195066954268799,6.05515500722868,-2776.81526144755,-2779.84283895117
500,0.215,0.825,0.231018414600723,5.6007027752803,-3022.54844330901,-3025.34879469665
1000,0.215,0.825,0.0970454138818766,7.85476911438491,-6145.80537733931,-6149.73276189651
2000,0.215,0.825,0.956397197983727,0.658070711953769,-12277.9839196477,-12278.3129550037
4000,0.215,0.825,0.0627821950241447,8.93354419263778,-24986.0268156168,-24990.4935877131
5000,0.215,0.825,7.2623426328187e-05,24.2061390589442,-30858.7804180226,-30870.8834875521
6000,0.215,0.825,0.357040822470771,4.37978462783212,-37167.9041158054,-37170.0940081193
7000,0.215,0.825,0.00586846606876266,14.4963021146687,-43439.761552055,-43447.0097031123
8000,0.215,0.825,0.689240919422898,2.2535354722495,-49591.5916994621,-49592.7184671982
50,0.215,0.825,0.116640224515813,7.39040456438772,-311.892981107244,-315.588183389438
60,0.215,0.825,0.366183335074501,4.3059283464753,-322.02321058104,-324.176174754278
70,0.215,0.825,0.864203867681808,1.28329188277473,-430.94103245256,-431.582678393947
80,0.215,0.825,0.83997755736127,1.42420380916053,-482.346956658543,-483.059058563123
90,0.215,0.825,0.62973306452035,2.58358861552506,-535.494924444008,-536.786718751771
100,0.215,0.825,0.135625962106953,7.00496724236245,-631.452442728726,-634.954926349907
150,0.215,0.825,0.929699151643463,0.863776604835266,-936.443816014012,-936.87570431643
200,0.215,0.825,0.82214117625644,1.52535320309016,-1212.2945408902,-1213.05721749174
250,0.215,0.825,0.567748988294769,2.94098803560382,-1546.63506534461,-1548.10555936241
