"n","target_cv","actual_cv","mttf_true","R_half_true","R_mttf_true","R_2mttf_true","mttf_full","R_half_full","R_mttf_full","R_2mttf_full","mttf_reduced","R_half_reduced","R_mttf_reduced","R_2mttf_reduced","loglik_F","loglik_R","Lambda","p_value","conv_F","conv_R"
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,203.520537848976,0.657872727130614,0.371626290021452,0.0860262190609953,206.023420828162,0.649991020358287,0.364675129589669,0.0942247009944586,-642.271954865419,-644.069866648824,3.59582356680926,0.463458499081099,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,224.148841707786,0.690126913264469,0.430945765551346,0.115951439592994,234.788707308782,0.66466147709428,0.409507992695298,0.142079565182578,-606.77204981632,-611.175489670812,8.80687970898339,0.0661120602842379,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,226.385998656361,0.667493031134837,0.40395897351127,0.127367957490299,227.971600874215,0.664707165025463,0.401605841549544,0.130312800519353,-604.989338564556,-605.613411005491,1.24814488187008,0.870110039016652,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,192.252086905502,0.607905528669569,0.339153013889049,0.0845585642094011,195.860413576649,0.597372561213122,0.331854642548105,0.0942679256847872,-634.613296457933,-637.394130044768,5.56166717366909,0.234361829985621,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,212.534764642178,0.667638063460341,0.389533948452799,0.100814047690914,215.742286730369,0.662500279558184,0.384279281274223,0.108444775549074,-628.698350210965,-630.058766897278,2.72083337262507,0.605573993669278,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,220.533329748153,0.740299836059441,0.426699487017991,0.0837994383611647,221.427416111413,0.73859326340873,0.423446144629691,0.0874181157438866,-626.590929117935,-627.499085958535,1.81631368120134,0.769496349749162,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,215.071369450327,0.640273262800435,0.382923763296384,0.11702394387937,219.306779763177,0.63226594663159,0.376548614218139,0.124823218913144,-609.958228044998,-611.952372169324,3.98828824865336,0.407593183298925,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,195.223376529045,0.660863640379148,0.352082266494913,0.0671323215792819,196.077050149688,0.655153367936193,0.348008708768977,0.0717470461379017,-646.357343125315,-647.866783637569,3.01888102450744,0.55467069291111,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,221.391628393126,0.696773270616363,0.421431343109832,0.106575153182766,226.837211191848,0.686753274638416,0.410222838529323,0.120889257223622,-610.151117422737,-613.59392811281,6.88562138014595,0.142057485532428,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,212.356147528845,0.668186605505534,0.411861786357044,0.100694494783497,226.763676930409,0.638267102155012,0.387868227981636,0.135642507696092,-620.189867615158,-628.850859927126,17.321984623936,0.00167340309393483,0,0
