target_cv,n,n_reps,mttf_true,actual_cv,lrt_selects_reduced,cv_selects_reduced,mean_cv_hat,sd_cv_hat,mse_full,mse_red,mse_lrt,mse_cv,rmse_full,rmse_red,rmse_lrt,rmse_cv,rel_rmse_red,rel_rmse_lrt,rel_rmse_cv,bias_full_x,bias_reduced,bias_adaptive_lrt,bias_adaptive_cv,bias_full_y,bias_red,bias_lrt,bias_cv,rmse_full_pct,rmse_red_pct,rmse_lrt_pct
0.0,100,497,221.829531491824,0.0,0.9295774647887324,0.026156941649899398,0.3068164469882118,0.1888698964717328,422.0157278091429,498.57463429776965,490.9080744776379,422.0214293328977,20.543021389492417,22.328784881801553,22.156445438689797,20.543160159354688,1.0869279868063877,1.0785387903077701,1.0000067550853227,0,0,0,0,-3.501790278428788,1.3316762581324832,0.47025064673465855,-3.490532676990331,9.260724327973243,10.065740450172896,9.988050414066
0.0,500,500,221.829531491824,0.0,0.946,0.364,0.119697781539483,0.04586604609538654,103.17297910714517,106.61262418487186,106.63463169679166,103.61625090596307,10.157410059023174,10.325338938014184,10.326404587115094,10.179206791590545,1.0165326473988152,1.0166375608654095,1.0021458947153568,0,0,0,0,-0.8101771177837254,0.12877611278786816,-0.0072299209928936535,-0.6660765968562221,4.578925984612444,4.654627753381314,4.655108144379638
0.0,1000,499,221.829531491824,0.0,0.9378757515030061,0.6793587174348698,0.0843999390476129,0.03393915123649352,43.10503290913604,44.15010692151187,43.971352303677165,43.52890720163656,6.565442323951681,6.644554681956637,6.631089827749068,6.597644064485182,1.0120498138741305,1.0099989460813472,1.0049047328336165,0,0,0,0,-0.32874359655557234,0.20670833075123446,0.11677281402450103,-0.10208643809114422,2.959679119276174,2.9953427017906025,2.9892727912079056
0.02,100,497,221.724225753044,0.0273861278752583,0.9154929577464789,0.018108651911468814,0.31313508069383267,0.19978906042417413,424.4892621125631,472.55999525618773,475.3110325513529,424.7315013718026,20.603137191033873,21.738445097480817,21.801629126084887,20.60901505098685,1.055103642514258,1.0581703613356792,1.000285289560443,0,0,0,0,-4.3806056049634945,0.20769912211035618,-0.6979740129034891,-4.372486854746098,9.292235488052446,9.804271510544387,9.832768184008678
0.02,500,499,221.724225753044,0.0273861278752583,0.9398797595190381,0.3486973947895792,0.12075738739238509,0.047217853327275155,87.8342976246319,90.04893288136225,89.6842313350241,88.01028644264798,9.371995391837958,9.489411619345123,9.470175887227443,9.381379772861132,1.0125284128510588,1.0104759436261557,1.0010013215575573,0,0,0,0,-1.0569631845569891,-0.08855682485518186,-0.25732127848105957,-0.9296069411153304,4.22687027545491,4.279826251333677,4.271150730175649
0.02,1000,498,221.724225753044,0.0273861278752583,0.9317269076305221,0.6445783132530121,0.0889591940300828,0.03275157474388123,42.77756783019489,43.60904796858297,43.673050794748775,42.841995127061146,6.5404562402171065,6.6037147098116655,6.608558904538022,6.545379677838494,1.0096718741432111,1.01041252503184,1.0007527666940288,0,0,0,0,-0.5344883728134316,0.05293284521984191,-0.045581624954666215,-0.29240162995202185,2.9498157984332543,2.978346045581356,2.980530829273758
0.04,100,499,221.349288166668,0.0547722557505166,0.9478957915831663,0.01603206412825651,0.31131929995158775,0.16248307202382156,426.6829361217928,499.9804303831363,498.40328237733223,426.6520518715765,20.656304996823437,22.36024218078007,22.324947533585206,20.655557408880945,1.082489931486714,1.08078126930341,0.9999638082443784,0,0,0,0,-3.236725264657572,1.5446980767306857,0.9716491486754634,-3.231425217463953,9.331995222532628,10.101790869073685,10.085845641742171
0.04,500,498,221.349288166668,0.0547722557505166,0.9236947791164659,0.26907630522088355,0.13167024087574783,0.047610468091343366,82.91633572337835,85.05810396205608,85.18017647336907,83.0276189493097,9.105840747749674,9.22269504874015,9.229310725800117,9.111949239833907,1.0128328953061643,1.013559426468221,1.0006708322991198,0,0,0,0,-0.9420366464915373,0.17435793698397423,-0.026930422587545955,-0.8337257223563987,4.113788132398829,4.166579944813644,4.169568740085931
0.04,1000,499,221.349288166668,0.0547722557505166,0.8857715430861723,0.5410821643286573,0.09747305372173432,0.035261351055615536,45.07939958604667,45.08874424068106,45.95166080699764,45.62793414036128,6.714119420001902,6.714815279714034,6.778765433838055,6.754845234375195,1.0001036412474373,1.0096283681883238,1.0060656970520911,0,0,0,0,-0.4074224233516612,0.24214958316841537,0.0851343473254794,-0.20586417949041064,3.033269036287306,3.033583408074039,3.062474467382922
0.06,100,496,220.703401433383,0.0821583836257748,0.9375,0.012096774193548387,0.3107916778524508,0.1577476888661746,375.0734264677364,443.5928497696834,430.52436403979675,375.1757913265374,19.366812501486567,21.06164404242184,20.749081040850864,19.369455111761336,1.0875121572434896,1.0713730532196868,1.0001364504496837,0,0,0,0,-2.771394894283538,2.19623778451915,1.4622067874976201,-2.765474460950576,8.775040337261062,9.542963047073416,9.401341758257296
