"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
90,0.215,0.825,0.547609031662845,3.06136573318804,-554.424602423883,-555.955285290477
100,0.215,0.825,0.370298270476012,4.27315852034258,-639.434185359738,-641.570764619909
50,0.215,0.825,0.502763141066046,3.33908730799806,-303.977947118872,-305.647490772871
60,0.215,0.825,0.270011974187599,5.17290506797531,-376.673450048799,-379.259902582787
70,0.215,0.825,0.934542224784853,0.828826496819488,-422.230409546334,-422.644822794744
80,0.215,0.825,0.0981999184685937,7.82508254516972,-507.532036682726,-511.444577955311
90,0.215,0.825,0.223699248025499,5.68790880112829,-576.489657121691,-579.333611522256
100,0.215,0.825,0.0645498166142335,8.86553297850401,-651.956350078643,-656.389116567895
50,0.215,0.825,0.574848287637687,2.89911167631965,-311.623193693417,-313.072749531577
60,0.215,0.825,0.0506553253382008,9.45618740395992,-388.752364251164,-393.480457953144
70,0.215,0.825,0.473128892958507,3.53134108677216,-449.272685180599,-451.038355723985
80,0.215,0.825,0.18693314426056,6.16821490879784,-460.542752635114,-463.626860089513
90,0.215,0.825,0.388954588925113,4.12804136404566,-543.843577660566,-545.907598342589
100,0.215,0.825,0.149574570987626,6.75224698641932,-621.417663769378,-624.793787262587
50,0.215,0.825,0.766760767488439,1.83124737730088,-297.022456720779,-297.938080409429
60,0.215,0.825,0.0757774554984191,8.47079431794009,-303.980081459274,-308.215478618244
70,0.215,0.825,0.489683451050778,3.42299398669388,-436.750571487506,-438.462068480853
80,0.215,0.825,0.675710159217986,2.32781190852415,-476.386407269091,-477.550313223353
90,0.215,0.825,0.374700028581545,4.23841782614613,-561.350113979974,-563.469322893047
100,0.215,0.825,0.645802159868885,2.49348848010004,-635.012668988371,-636.259413228421
50,0.215,0.825,0.966291330402411,0.570438340758983,-304.952564613982,-305.237783784361
60,0.215,0.825,0.330537211703342,4.60275023595841,-344.852185654669,-347.153560772648
70,0.215,0.825,0.211310490893809,5.8413917190943,-434.722248280948,-437.642944140495
80,0.215,0.825,0.86102100023976,1.30208901149228,-490.154231405474,-490.80527591122
90,0.215,0.825,0.356912864718366,4.38082885164567,-552.205527311516,-554.395941737338
100,0.215,0.825,0.311801092213397,4.76927253021972,-612.429486918975,-614.814123184084
50,0.215,0.825,0.685318245796534,2.275033365686,-316.209518267154,-317.347034949997
60,0.215,0.825,0.517069255098561,3.24889937968544,-384.820282416132,-386.444732105974
70,0.215,0.825,0.00239177585747233,16.5231909694775,-419.023219447768,-427.284814932507
80,0.215,0.825,0.787481558036273,1.71780104688003,-505.455689017462,-506.314589540902
90,0.215,0.825,0.0595917169606711,9.06104130715789,-557.530933839204,-562.061454492783
100,0.215,0.825,0.182786352699523,6.22755892621672,-590.860890760439,-593.974670223547
50,0.215,0.825,0.692390995466787,2.23629062977886,-303.696092801017,-304.814238115906
60,0.215,0.825,0.590117804037615,2.8099417926237,-352.431283230193,-353.836254126505
70,0.215,0.825,0.566108166302358,2.95070641814004,-422.257711970281,-423.733065179351
80,0.215,0.825,0.782075330611631,1.74748277027106,-476.682347188699,-477.556088573834
90,0.215,0.825,0.761611221464513,1.85933196883866,-582.759241015803,-583.688907000222
