"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
1500,0.215,0.825,0.340066605464843,9.02648544444673,-9240.29136445803,-9244.80460718025
2500,0.215,0.825,0.00589280836922266,21.5174312472955,-15255.6342440493,-15266.3929596729
3500,0.215,0.825,0.000498610571022775,27.8749942338909,-21695.8380718704,-21709.7755689873
1500,0.215,0.825,0.0111292834020181,19.7976605505864,-9287.98672103815,-9297.88555131345
2500,0.215,0.825,0.015235602974165,18.9305333312695,-15456.5527893711,-15466.0180560367
3500,0.215,0.825,1.5098164931147e-06,41.7482302281569,-21756.6640599706,-21777.5381750847
1500,0.215,0.825,0.159079772920937,11.8272461060296,-9313.9448931353,-9319.85851618831
2500,0.215,0.825,7.39516885483095e-07,43.3967273971939,-15426.3646732035,-15448.0630369021
3500,0.215,0.825,0.0267815178025649,17.3373827209143,-21830.1798640375,-21838.848555398
1500,0.215,0.825,0.00081223228156115,26.6504226103461,-9201.87462076112,-9215.19983206629
2500,0.215,0.825,0.00501832142223418,21.9452426443495,-15477.4608733612,-15488.4334946833
3500,0.215,0.825,1.56463028696322e-06,41.6656155036035,-21577.8277234909,-21598.6605312427
1500,0.215,0.825,0.0547203293206038,15.2357499782847,-9350.11927393415,-9357.73714892329
2500,0.215,0.825,9.91775807187322e-05,31.8476726403569,-15442.8922151287,-15458.8160514489
3500,0.215,0.825,0.000459095787591433,28.0809658919679,-21753.6746896882,-21767.7151726342
1500,0.215,0.825,0.663117577769925,5.8581498515523,-9076.57551290959,-9079.50458783537
2500,0.215,0.825,0.00407869152201449,22.4938247377831,-15488.7338019386,-15499.9807143075
3500,0.215,0.825,0.0806007177999796,14.0449729579195,-21833.2701487979,-21840.2926352769
1500,0.215,0.825,0.234426655123261,10.4566332078757,-9268.37170134706,-9273.600017951
2500,0.215,0.825,0.0196042517803178,18.2245981646447,-15298.8342387321,-15307.9465378144
3500,0.215,0.825,0.000178320889717122,30.4172267495305,-21785.9374345872,-21801.1460479619
1500,0.215,0.825,0.00780240782865795,20.7636779692002,-9399.69098479335,-9410.07282377795
2500,0.215,0.825,0.00722645164681119,20.9704091758431,-15591.4325496157,-15601.9177542037
3500,0.215,0.825,2.94315662314669e-05,34.771059822815,-21706.9621234819,-21724.3476533933
1500,0.215,0.825,0.00336996205228729,22.9955517294293,-9295.19291247574,-9306.69068834045
2500,0.215,0.825,2.99533898495762e-05,34.7291026340208,-15499.6567300455,-15517.0212813625
3500,0.215,0.825,0.000603502638511242,27.3973720435752,-21667.3918496965,-21681.0905357183
1500,0.215,0.825,0.064303569987818,14.744715239849,-9453.93913691208,-9461.31149453201
2500,0.215,0.825,1.41649057517476e-05,36.5091309944073,-15712.7069134475,-15730.9614789447
3500,0.215,0.825,0.00119762128158847,25.6663298334825,-21827.2151662768,-21840.0483311936
1500,0.215,0.825,0.00171146893263268,24.7532334170501,-9182.47659920322,-9194.85321591174
2500,0.215,0.825,0.171414626298684,11.5706130732979,-15429.6141855909,-15435.3994921276
3500,0.215,0.825,0.000201566228472681,30.1167340599277,-21691.0235897878,-21706.0819568177
1500,0.215,0.825,0.0108586239467718,19.8651065561971,-9218.07725419055,-9228.00980746865
2500,0.215,0.825,0.000120046395745604,31.3835047150314,-15528.1265250221,-15543.8182773796
3500,0.215,0.825,8.79174556795617e-05,32.1399061643097,-21656.5521942166,-21672.6221472988
1500,0.215,0.825,0.00369590559093457,22.7532593330907,-9371.98758409599,-9383.36421376254
2500,0.215,0.825,0.000203050748213778,30.098719147285,-15740.6998258169,-15755.7491853906
3500,0.215,0.825,0.000507693614115591,27.8299135788911,-21758.8840475179,-21772.7990043074
1500,0.215,0.825,0.0632341708314936,14.7960700835029,-9281.34403314047,-9288.74206818222
2500,0.215,0.825,0.000790828792422344,26.7177768271686,-15574.7945529504,-15588.153441364
3500,0.215,0.825,1.34820796798598e-06,42.0103398422361,-22006.0820591751,-22027.0872290962
1500,0.215,0.825,0.0607416767892703,14.9189019121332,-9466.2821968895,-9473.74164784557
2500,0.215,0.825,0.000558131757554207,27.5931162546403,-15456.4937779066,-15470.2903360339
3500,0.215,0.825,1.10222421771474e-06,42.476132504009,-21697.1009734058,-21718.3390396578
1500,0.215,0.825,0.00772881442602436,20.7892606734204,-9127.52673456292,-9137.92136489963
2500,0.215,0.825,0.0112416045697123,19.7701300474764,-15504.8992563736,-15514.7843213973
3500,0.215,0.825,2.53853120833082e-09,56.2351153641212,-21653.1234144062,-21681.2409720883
