target_cv,actual_cv,pop_bias
0.0,0.0,1.686416562736724e-05
0.02,0.027386127875258265,0.0001883833722185167
0.04,0.05477225575051658,0.0007709453985390858
0.06,0.08215838362577484,0.001765132324797959
0.08,0.10954451150103323,0.0032117846018198085
0.1,0.13693063937629146,0.005166219330646301
0.12,0.1643167672515499,0.0077354574212034595
0.15,0.2053959590644372,0.013082259373551845
0.18,0.24647515087732463,0.021212846452577823
0.2,0.27386127875258304,0.02944120921125286
0.25,0.34232659844072877,0.08318287262448287
0.3,0.4107919181288745,0.5663147675388371
