target_cv,n,mttf_true,actual_cv,mttf_full_mean,mttf_red_mean,n_reps,bias_full_pct,bias_red_pct,mse_full,mse_red,rmse_full,rmse_red,rel_eff,rmse_full_pct,rmse_red_pct,R_bias_full_pct,R_bias_red_pct,reject_rate
0.0,100,221.829531491824,0.0,218.071734354253,222.62612182723436,500,-1.694002197227516,0.3591002199090445,361.60579357689915,417.11356716370057,19.015935253804876,20.423358371328174,0.8669240754640407,8.57231908029601,9.206780645470966,1.691492727709391,-0.3114419170662525,0.05
0.0,500,221.829531491824,0.0,220.67575134239652,221.61840723482112,500,-0.5201201759153583,-0.09517409858960772,90.95295681152072,92.77184210198227,9.536925962359188,9.631814060808185,0.980393994026096,4.299213859499447,4.3419890922697935,0.23814386167646065,-0.1305308353131028,0.068
0.0,1000,221.829531491824,0.0,221.39466354925557,221.90939012016318,499,-0.196036992750207,0.03599999864856158,44.88985066222375,45.63291254639744,6.699988855380563,6.755213730622995,0.9837165360984097,3.0203322390497434,3.045227425398936,0.16087831237355252,-0.00805331535294577,0.056112224448897796
0.0,5000,221.829531491824,0.0,221.59120892441652,221.7443484908678,500,-0.10743500462032822,-0.03840020775563882,8.412387073173951,8.39826886626963,2.9004115351401345,2.897976684907874,1.0016810853676077,1.30749567725929,1.3063980550374488,-0.038760773132690565,-0.05515606439202154,0.044
0.02,100,221.724225753044,0.0273861278752583,218.21491032385364,222.3872375073162,497,-1.5827388357188512,0.29902540059409277,390.3735233163359,441.0638277649968,19.757872439013667,21.001519653705937,0.8850726328986805,8.91101203393983,9.47191024452934,1.7495728175370246,-0.15388261235577919,0.04225352112676056
0.02,500,221.724225753044,0.0273861278752583,220.57634538400745,221.52044279847325,500,-0.5177063377436544,-0.09190829458470103,97.61043698889387,99.89252096765699,9.879799440722158,9.994624603638547,0.977154606204182,4.455895338981252,4.5076827169849,0.13327664303658107,-0.2327414265044998,0.058
0.02,1000,221.724225753044,0.0273861278752583,220.9005419857616,221.467780644849,498,-0.3714901989103442,-0.11565948976664268,46.6204973771554,46.96557129676563,6.827920428443451,6.853143169142582,0.9926526195661546,3.0794652254410733,3.0908409515772077,-0.031571529793704554,-0.2168844810032471,0.06626506024096386
0.02,5000,221.724225753044,0.0273861278752583,221.61322515027214,221.8102679608499,500,-0.05006246042572682,0.038805957045813536,8.410945129258035,8.449537934960173,2.9001629487423695,2.9068088920601873,0.9954325543006963,1.308004544335433,1.3110019359354015,0.028534297210619685,-0.0058309957169066775,0.158
0.04,100,221.349288166668,0.0547722557505166,218.41588190302465,223.11673216916023,499,-1.3252386253144848,0.7984864180640169,382.2787647372882,447.9670357323408,19.55195040749869,21.165231766563313,0.8533636054544399,8.833075800441147,9.561915442269983,1.9127777568572288,-0.06351785450758163,0.06613226452905811
0.04,500,221.349288166668,0.0547722557505166,220.70476370443595,221.7996770569063,498,-0.29117982152567495,0.20347428897045305,83.68415555945982,87.21410391462318,9.1479044354136,9.338849175065587,0.9595254873154583,4.132791440705045,4.219055436055331,0.27461081782867486,-0.13957816700462247,0.0823293172690763
0.04,1000,221.349288166668,0.0547722557505166,220.82748429772343,221.50553956693585,500,-0.23573776688709022,0.07059042365214055,42.64159159557782,43.185093490663654,6.530052955036262,6.571536615637446,0.9874145949179586,2.95011247116339,2.968853737938979,0.07918710063027384,-0.14910194608570113,0.134
0.04,5000,221.349288166668,0.0547722557505166,221.33887264706206,221.66028495178176,499,-0.0047054678568018826,0.14050046769501645,9.090801205715483,9.336598708461304,3.015095554989175,3.0555848390220333,0.9736737638168954,1.3621437773583067,1.380435809995146,0.058615542245756644,-0.03667179310120473,0.5811623246492986
0.06,100,220.703401433383,0.0821583836257748,217.40873867877482,222.34140955544825,499,-1.4928010774689524,0.7421762018288033,362.9083455670861,418.83570236556176,19.0501534263398,20.465475864625326,0.8664694616944044,8.63156313070684,9.272841166792173,2.1307666586966723,0.08274489896355518,0.07414829659318638
