target_cv,actual_cv,n,model,mttf_true,mean_est,bias,bias_sq,variance,mse,mse_check,bias_frac,var_frac,n_reps
0.0,0.0,100,full,221.829531491824,218.07173435425298,-3.757797137571032,14.12103932713704,347.48475424976226,361.60579357689915,361.6057935768993,0.03905092113557096,0.9609490788644295,500
0.0,0.0,100,reduced,221.829531491824,222.62612182723436,0.7965903354103432,0.634556162469163,416.47901100123136,417.11356716370057,417.1135671637005,0.0015213030992591158,0.9984786969007408,500
0.0,0.0,500,full,221.829531491824,220.6757513423965,-1.1537801494275186,1.331208633212987,89.62174817830775,90.95295681152072,90.95295681152074,0.014636232618271154,0.985363767381729,500
0.0,0.0,500,reduced,221.829531491824,221.61840723482112,-0.2111242570028935,0.044573451895023826,92.72726865008727,92.77184210198227,92.77184210198229,0.0004804631543914489,0.9995195368456088,500
0.0,0.0,1000,full,221.829531491824,221.39466354925557,-0.4348679425684452,0.18911012747371253,44.700740534750054,44.88985066222375,44.889850662223765,0.0042127591133390594,0.9957872408866613,499
0.0,0.0,1000,reduced,221.829531491824,221.90939012016318,0.07985862833916713,0.006377400520213227,45.626535145877234,45.63291254639744,45.63291254639745,0.00013975440453705383,0.999860245595463,499
0.0,0.0,5000,full,221.829531491824,221.59120892441652,-0.23832256740749358,0.05679764613569932,8.355589427038243,8.412387073173951,8.412387073173942,0.0067516681818909526,0.993248331818108,500
0.0,0.0,5000,reduced,221.829531491824,221.74434849086782,-0.08518300095619225,0.007256143651902649,8.391012722617724,8.39826886626963,8.398268866269627,0.0008640046856615708,0.9991359953143379,500
0.02,0.0273861278752583,100,full,221.724225753044,218.21491032385364,-3.509315429190366,12.315294781553561,378.0582285347822,390.3735233163359,390.37352331633576,0.031547464277114835,0.9684525357228848,497
0.02,0.0273861278752583,100,reduced,221.724225753044,222.3872375073162,0.6630117542721905,0.4395845863030875,440.62424317869375,441.0638277649968,441.06382776499686,0.00099664619638068,0.9990033538036194,497
0.02,0.0273861278752583,500,full,221.724225753044,220.57634538400745,-1.1478803690365567,1.3176293416195015,96.2928076472744,97.61043698889387,97.61043698889391,0.013498857112681726,0.9865011428873186,500
0.02,0.0273861278752583,500,reduced,221.724225753044,221.52044279847328,-0.20378295457072682,0.04152749257357491,99.85099347508341,99.89252096765699,99.89252096765699,0.0004157217394385372,0.9995842782605614,500
0.02,0.0273861278752583,1000,full,221.724225753044,220.90054198576163,-0.8236837672823754,0.6784549484844863,45.942042428670874,46.6204973771554,46.62049737715536,0.014552717938546431,0.9854472820614527,498
