"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,1.5,0.249017094958196,5.39607089891797,-6358.25391327235,-6360.9519487218
1000,0.215,0.825,1.75,0.000169157152880074,22.3697561114404,-6382.35979142688,-6393.5446694826
1000,0.215,0.825,2,3.88001469824454e-05,25.5606572745928,-6350.7881347892,-6363.56846342649
1000,0.215,0.825,2.25,0.00375532807611215,15.5082040398083,-6232.65411266412,-6240.40821468402
1000,0.215,0.825,2.5,0.00338520896708166,15.7422866550714,-6224.52476063708,-6232.39590396462
1000,0.215,0.825,2.75,0.000118475309857751,23.1446042498992,-6297.41912438232,-6308.99142650727
1000,0.215,0.825,3,1.13372996390517e-05,28.204513181694,-6346.92707418487,-6361.02933077572
1000,0.215,0.825,0.25,7.05242305948518e-112,523.012869512533,-4678.75339146304,-4940.25982621931
1000,0.215,0.825,0.5,3.82848608946878e-37,176.691384036789,-5701.32282395485,-5789.66851597324
1000,0.215,0.825,0.75,5.53143463716016e-06,29.7389196915901,-6006.7496079214,-6021.6190677672
1000,0.215,0.825,1,0.0865481637843298,8.14098416832348,-6135.21464212414,-6139.2851342083
1000,0.215,0.825,1.1308,0.334104723005975,4.5719189647516,-6205.67070708036,-6207.95666656274
1000,0.215,0.825,1.25,0.452608262195381,3.66928999959418,-6240.12404139089,-6241.95868639068
1000,0.215,0.825,1.5,0.680622602161624,2.30080441012251,-6283.93992884755,-6285.09033105261
1000,0.215,0.825,1.75,0.0648695786342936,8.85341893211989,-6189.80521693101,-6194.23192639707
1000,0.215,0.825,2,0.000176357078501764,22.2789223249983,-6260.36109148331,-6271.50055264581
1000,0.215,0.825,2.25,0.00226465274273741,16.6455929632684,-6297.18130784582,-6305.50410432745
1000,0.215,0.825,2.5,8.59814128775784e-08,38.5574121333011,-6355.01691202346,-6374.29561809011
1000,0.215,0.825,2.75,0.00664414733066469,14.2134223414087,-6406.11132098349,-6413.21803215419
1000,0.215,0.825,3,0.000328557175189436,20.919260242028,-6359.98019240789,-6370.43982252891
1000,0.215,0.825,0.25,2.63586298739531e-108,506.4965814352,-4570.61634031764,-4823.86463103524
1000,0.215,0.825,0.5,1.09885454147394e-41,197.832101686583,-5795.48429586558,-5894.40034670888
1000,0.215,0.825,0.75,7.20468222779285e-10,48.5623601067564,-6098.90944999075,-6123.19063004413
1000,0.215,0.825,1,0.266285642204946,5.2114045114522,-6159.46793317202,-6162.07363542775
1000,0.215,0.825,1.1308,0.328178881651289,4.62327995224769,-6155.71805589939,-6158.02969587551
1000,0.215,0.825,1.25,0.377575233754114,4.21589640335151,-6269.4969937363,-6271.60494193798
1000,0.215,0.825,1.5,0.0166795023358433,12.0920811079668,-6277.76923185065,-6283.81527240463
1000,0.215,0.825,1.75,0.000128670910049956,22.9651742851966,-6387.26436871805,-6398.74695586065
1000,0.215,0.825,2,0.0722399858401709,8.58882767543582,-6279.09946604658,-6283.3938798843
1000,0.215,0.825,2.25,0.0451600293503774,9.73372592407031,-6265.07249554928,-6269.93935851132
1000,0.215,0.825,2.5,1.75281938275308e-05,27.2702486236394,-6267.98431656913,-6281.61944088095
1000,0.215,0.825,2.75,1.40377720029231e-08,42.3614768268362,-6157.01764285214,-6178.19838126556
1000,0.215,0.825,3,0.000533153958673864,19.8560630171487,-6247.23521225809,-6257.16324376667
1000,0.215,0.825,0.25,1.66786893360074e-121,567.505742427929,-4559.849927729,-4843.60279894296
1000,0.215,0.825,0.5,3.22459956280646e-27,130.383082832974,-5825.75648620929,-5890.94802762578
1000,0.215,0.825,0.75,1.00001180914014e-10,52.6679386960514,-6014.2903631911,-6040.62433253913
1000,0.215,0.825,1,0.96770559543506,0.557136702929711,-6217.0757442082,-6217.35431255967
1000,0.215,0.825,1.1308,0.59851137687314,2.76141485379048,-6241.91401508905,-6243.29472251594
1000,0.215,0.825,1.25,0.822607015384473,1.52273356985461,-6137.68616019857,-6138.4475269835
1000,0.215,0.825,1.5,2.09571620859296e-05,26.8865156467982,-6336.0870307962,-6349.5302886196
1000,0.215,0.825,1.75,0.000253887730795957,21.4835421053976,-6281.66498042332,-6292.40675147602
1000,0.215,0.825,2,4.20971902165949e-05,25.3847363398545,-6255.33313706027,-6268.0255052302
