"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","aic_F","aic_R","bic_F","bic_R"
100,0.05,0.825,0.581462640505509,2.86033921702301,-677.030802663518,-678.460972272029,0.0399806559271595,1.11213300318359,1374.06160532704,1368.92194454406,1400.11330718692,1384.55296565999
100,0.05,0.825,0.657320311027156,2.42940290858451,-662.490707498519,-663.705408952812,0.0399806559271595,1.11213300318359,1344.98141499704,1339.41081790562,1371.03311685692,1355.04183902155
100,0.05,0.825,0.991796049832769,0.267813646414425,-676.498652528819,-676.632559352026,0.0399806559271595,1.11213300318359,1372.99730505764,1365.26511870405,1399.04900691752,1380.89613981998
100,0.05,0.825,0.921857447855292,0.918736918376226,-621.755552020017,-622.214920479206,0.0399806559271595,1.11213300318359,1263.51110404003,1256.42984095841,1289.56280589992,1272.06086207434
100,0.05,0.825,0.194200983180894,6.06698975053109,-631.23050057295,-634.263995448216,0.0399806559271595,1.11213300318359,1282.4610011459,1280.52799089643,1308.51270300578,1296.15901201236
100,0.05,0.825,0.898046430360409,1.07609364332598,-643.144518335841,-643.682565157504,0.0399806559271595,1.11213300318359,1306.28903667168,1299.36513031501,1332.34073853156,1314.99615143094
100,0.05,0.825,0.201909183166338,5.96325613847375,-682.217672754127,-685.199300823364,0.0399806559271595,1.11213300318359,1384.43534550825,1382.39860164673,1410.48704736813,1398.02962276266
100,0.05,0.825,0.927650338162994,0.87832011811588,-650.173666212261,-650.612826271319,0.0399806559271595,1.11213300318359,1320.34733242452,1313.22565254264,1346.3990342844,1328.85667365857
100,0.05,0.825,0.159707276673151,6.58182389025956,-636.828927962256,-640.119839907386,0.0399806559271595,1.11213300318359,1293.65785592451,1292.23967981477,1319.70955778439,1307.8707009307
100,0.05,0.825,0.110398568359784,7.52988774094251,-667.668826193673,-671.433770064145,0.0399806559271595,1.11213300318359,1355.33765238735,1354.86754012829,1381.38935424723,1370.49856124422
100,0.05,0.825,0.547404331612386,3.06260189803606,-696.251548068183,-697.782849017201,0.0399806559271595,1.11213300318359,1412.50309613637,1407.5656980344,1438.55479799625,1423.19671915033
100,0.05,0.825,0.744279354568517,1.95367371946418,-623.72407366239,-624.700910522122,0.0399806559271595,1.11213300318359,1267.44814732478,1261.40182104424,1293.49984918466,1277.03284216017
100,0.05,0.825,0.753353710987982,1.90430719665983,-667.913744199607,-668.865897797937,0.0399806559271595,1.11213300318359,1355.82748839921,1349.73179559587,1381.8791902591,1365.3628167118
100,0.05,0.825,0.985490044969264,0.361710082439004,-621.110772119294,-621.291627160513,0.0399806559271595,1.11213300318359,1262.22154423859,1254.58325432103,1288.27324609847,1270.21427543696
100,0.05,0.825,0.48543347799298,3.45057324756976,-665.651413953198,-667.376700576983,0.0399806559271595,1.11213300318359,1351.3028279064,1346.75340115397,1377.35452976628,1362.3844222699
100,0.05,0.825,0.130571001744906,7.10247448609766,-655.026518355532,-658.577755598581,0.0399806559271595,1.11213300318359,1330.05303671106,1329.15551119716,1356.10473857095,1344.78653231309
100,0.05,0.825,0.740285515156825,1.97539004767827,-686.313039574462,-687.300734598301,0.0399806559271595,1.11213300318359,1392.62607914892,1386.6014691966,1418.67778100881,1402.23249031253
100,0.05,0.825,0.692185170268853,2.23741691288092,-671.958796421634,-673.077504878074,0.0399806559271595,1.11213300318359,1363.91759284327,1358.15500975615,1389.96929470315,1373.78603087208
100,0.05,0.825,0.307495144162368,4.80870002503093,-643.003054156644,-645.407404169159,0.0399806559271595,1.11213300318359,1306.00610831329,1302.81480833832,1332.05781017317,1318.44582945425
100,0.05,0.825,0.264658230616254,5.22836270532048,-629.908683051596,-632.522864404257,0.0399806559271595,1.11213300318359,1279.81736610319,1277.04572880851,1305.86906796307,1292.67674992444
100,0.05,0.825,0.903987356386012,1.03795392357915,-681.595528224941,-682.11450518673,0.0399806559271595,1.11213300318359,1383.19105644988,1376.22901037346,1409.24275830976,1391.86003148939
100,0.05,0.825,0.0308641422566303,10.6444652450355,-676.402128804441,-681.724361426958,0.0399806559271595,1.11213300318359,1372.80425760888,1375.44872285392,1398.85595946876,1391.07974396985
100,0.05,0.825,0.742629476309363,1.96264538633613,-664.691677712808,-665.673000405976,0.0399806559271595,1.11213300318359,1349.38335542562,1343.34600081195,1375.4350572855,1358.97702192788
100,0.05,0.825,0.297009363728615,4.9066616775392,-656.740787350069,-659.194118188838,0.0399806559271595,1.11213300318359,1333.48157470014,1330.38823637768,1359.53327656002,1346.0192574936
100,0.05,0.825,0.554468538388006,3.02009297132668,-684.739455844763,-686.249502330427,0.0399806559271595,1.11213300318359,1389.47891168953,1384.49900466085,1415.53061354941,1400.13002577678
100,0.05,0.825,0.407359751459314,3.99000842294618,-651.090498186054,-653.085502397528,0.0399806559271595,1.11213300318359,1322.18099637211,1318.17100479506,1348.23269823199,1333.80202591098
100,0.05,0.825,0.911962102747634,0.985662975467221,-638.708449422828,-639.201280910562,0.0399806559271595,1.11213300318359,1297.41689884566,1290.40256182112,1323.46860070554,1306.03358293705
100,0.05,0.825,0.503630466424811,3.33357354678401,-678.629255621916,-680.296042395308,0.0399806559271595,1.11213300318359,1377.25851124383,1372.59208479062,1403.31021310371,1388.22310590654
100,0.05,0.825,0.833066582626424,1.46361438311442,-669.862248125061,-670.594055316619,0.0399806559271595,1.11213300318359,1359.72449625012,1353.18811063324,1385.77619811,1368.81913174917
100,0.05,0.825,0.821479619565282,1.52907161652683,-680.121992911137,-680.8865287194,0.0399806559271595,1.11213300318359,1380.24398582227,1373.7730574388,1406.29568768215,1389.40407855473
100,0.05,0.825,0.472372110011167,3.5363546767137,-664.623653153202,-666.391830491559,0.0399806559271595,1.11213300318359,1349.2473063064,1344.78366098312,1375.29900816629,1360.41468209905
100,0.05,0.825,0.72274803242555,2.07074881081235,-635.319616609886,-636.354991015292,0.0399806559271595,1.11213300318359,1290.63923321977,1284.70998203058,1316.69093507965,1300.34100314651
100,0.05,0.825,0.0808488315700505,8.31035051959884,-628.492628975198,-632.647804234998,0.0399806559271595,1.11213300318359,1276.9852579504,1277.29560847,1303.03695981028,1292.92662958592
100,0.05,0.825,0.552136437149581,3.03409228606915,-654.420987805465,-655.9380339485,0.0399806559271595,1.11213300318359,1328.84197561093,1323.876067897,1354.89367747081,1339.50708901293
