"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","pct_censored","aic_F","aic_R","bic_F","bic_R"
100,0.215,0.5,0.461948124090463,3.60597808560306,-442.75663288022,-444.559621923021,0.0399806559271595,1.11213300318359,0.38,905.51326576044,901.119243846043,931.564967620321,916.750264961971
100,0.215,0.5,0.180069277263173,6.26710060779135,-401.71248499999,-404.846035303886,0.0399806559271595,1.11213300318359,0.46,823.42496999998,821.692070607771,849.476671859861,837.3230917237
100,0.215,0.5,7.66411291192638e-05,24.0895269577967,-381.640408452562,-393.68517193146,0.0399806559271595,1.11213300318359,0.48,783.280816905123,799.37034386292,809.332518765004,815.001364978849
100,0.215,0.5,0.634319727260048,2.55778225344454,-385.765676374684,-387.044567501406,0.0399806559271595,1.11213300318359,0.49,791.531352749367,786.089135002812,817.583054609248,801.72015611874
100,0.215,0.5,0.421401551979432,3.88781310769855,-454.015866556412,-455.959773110262,0.0399806559271595,1.11213300318359,0.37,928.031733112825,923.919546220523,954.083434972706,939.550567336452
100,0.215,0.5,0.089312793065345,8.06257239785305,-326.925974737048,-330.957260935975,0.0399806559271595,1.11213300318359,0.58,673.851949474096,673.914521871949,699.903651333977,689.545542987878
100,0.215,0.5,0.279687622521352,5.07500612121157,-368.903504420124,-371.44100748073,0.0399806559271595,1.11213300318359,0.51,757.807008840247,754.882014961459,783.858710700128,770.513036077388
100,0.215,0.5,0.28349639709907,5.03725322112189,-454.308824401765,-456.827451012326,0.0399806559271595,1.11213300318359,0.37,928.61764880353,925.654902024652,954.669350663411,941.285923140581
100,0.215,0.5,0.892308849039503,1.11234356634031,-435.954939523861,-436.511111307031,0.0399806559271595,1.11213300318359,0.4,891.909879047721,885.022222614061,917.961580907602,900.65324372999
100,0.215,0.5,0.444980877906915,3.72167771462728,-355.486928635474,-357.347767492788,0.0399806559271595,1.11213300318359,0.53,730.973857270948,726.695534985575,757.025559130829,742.326556101504
100,0.215,0.5,0.0340651932010276,10.409605553654,-358.297630465473,-363.5024332423,0.0399806559271595,1.11213300318359,0.52,736.595260930945,739.004866484599,762.646962790826,754.635887600528
100,0.215,0.5,0.950900266045514,0.703470362367739,-395.849863144672,-396.201598325856,0.0399806559271595,1.11213300318359,0.48,811.699726289344,804.403196651712,837.751428149225,820.03421776764
100,0.215,0.5,0.929064486812904,0.868296475290776,-361.377463068513,-361.811611306158,0.0399806559271595,1.11213300318359,0.52,742.754926137026,735.623222612317,768.806627996907,751.254243728245
100,0.215,0.5,0.00569073909375579,14.5662737889284,-395.077560143126,-402.36069703759,0.0399806559271595,1.11213300318359,0.46,810.155120286252,816.72139407518,836.206822146133,832.352415191109
100,0.215,0.5,0.868979138289047,1.25490276617927,-363.491615228132,-364.119066611222,0.0399806559271595,1.11213300318359,0.53,746.983230456265,740.238133222444,773.034932316146,755.869154338372
100,0.215,0.5,0.28471689867509,5.02524595029615,-387.634172780187,-390.146795755335,0.0399806559271595,1.11213300318359,0.48,795.268345560374,792.29359151067,821.320047420255,807.924612626599
100,0.215,0.5,0.853482793571971,1.346240217066,-416.952128370468,-417.625248479001,0.0399806559271595,1.11213300318359,0.44,853.904256740935,847.250496958001,879.955958600816,862.88151807393
100,0.215,0.5,0.817284185529256,1.5526043636271,-338.328046109566,-339.104348291379,0.0399806559271595,1.11213300318359,0.56,696.656092219131,690.208696582758,722.707794079012,705.839717698687
100,0.215,0.5,0.458132614558813,3.63173335617432,-336.833478660188,-338.649345338275,0.0399806559271595,1.11213300318359,0.56,693.666957320375,689.29869067655,719.718659180256,704.929711792478
100,0.215,0.5,0.282132370475225,5.05072412663185,-394.980261522462,-397.505623585778,0.0399806559271595,1.11213300318359,0.47,809.960523044923,807.011247171555,836.012224904804,822.642268287484
100,0.215,0.5,0.106669141237291,7.61676909581263,-321.345207422463,-325.153591970369,0.0399806559271595,1.11213300318359,0.58,662.690414844926,662.307183940739,688.742116704807,677.938205056667
100,0.215,0.5,0.325359258440084,4.64798333301201,-326.569148551509,-328.893140218015,0.0399806559271595,1.11213300318359,0.58,673.138297103019,669.786280436031,699.1899989629,685.417301551959
100,0.215,0.5,0.974640849057344,0.488185858836914,-364.882597891398,-365.126690820817,0.0399806559271595,1.11213300318359,0.52,749.765195782796,742.253381641633,775.816897642677,757.884402757562
100,0.215,0.5,0.208746053350004,5.87414968728308,-371.11129450164,-374.048369345282,0.0399806559271595,1.11213300318359,0.51,762.222589003281,760.096738690564,788.274290863162,775.727759806492
100,0.215,0.5,0.409257084665469,3.97604815303248,-371.451854263805,-373.439878340321,0.0399806559271595,1.11213300318359,0.51,762.90370852761,758.879756680643,788.955410387491,774.510777796571
